dataset,dataset_index,domain,structure,variant,policy,tp,fp,fn,precision,recall,f1
Dataset_01,1,Supporttickets,structured,1,secure,6,0,0,1.000000,1.000000,1.000000
Dataset_02,2,Supporttickets,structured,2,secure,8,0,0,1.000000,1.000000,1.000000
Dataset_03,3,Supporttickets,regular,1,secure,7,0,0,1.000000,1.000000,1.000000
Dataset_04,4,Supporttickets,regular,2,secure,6,0,0,1.000000,1.000000,1.000000
Dataset_05,5,Supporttickets,unstructured,1,secure,8,0,0,1.000000,1.000000,1.000000
Dataset_06,6,Supporttickets,unstructured,2,secure,8,0,0,1.000000,1.000000,1.000000
Dataset_07,7,E-Mail,structured,1,secure,13,0,0,1.000000,1.000000,1.000000
Dataset_08,8,E-Mail,structured,2,secure,9,1,1,0.900000,0.900000,0.900000
Dataset_09,9,E-Mail,regular,1,secure,8,0,0,1.000000,1.000000,1.000000
Dataset_10,10,E-Mail,regular,2,secure,10,0,0,1.000000,1.000000,1.000000
Dataset_11,11,E-Mail,unstructured,1,secure,14,0,0,1.000000,1.000000,1.000000
Dataset_12,12,E-Mail,unstructured,2,secure,12,0,0,1.000000,1.000000,1.000000
Dataset_13,13,HR-Dokumente,structured,1,secure,16,1,0,0.941176,1.000000,0.969697
Dataset_14,14,HR-Dokumente,structured,2,secure,14,1,1,0.933333,0.933333,0.933333
Dataset_15,15,HR-Dokumente,regular,1,secure,16,0,0,1.000000,1.000000,1.000000
Dataset_16,16,HR-Dokumente,regular,2,secure,11,2,1,0.846154,0.916667,0.880000
Dataset_17,17,HR-Dokumente,unstructured,1,secure,10,0,0,1.000000,1.000000,1.000000
Dataset_18,18,HR-Dokumente,unstructured,2,secure,13,1,0,0.928571,1.000000,0.962963
Dataset_19,19,Verträge,structured,1,secure,17,1,0,0.944444,1.000000,0.971429
Dataset_20,20,Verträge,structured,2,secure,18,1,1,0.947368,0.947368,0.947368
Dataset_21,21,Verträge,regular,1,secure,17,0,0,1.000000,1.000000,1.000000
Dataset_22,22,Verträge,regular,2,secure,16,0,0,1.000000,1.000000,1.000000
Dataset_23,23,Verträge,unstructured,1,secure,14,0,0,1.000000,1.000000,1.000000
Dataset_24,24,Verträge,unstructured,2,secure,16,0,0,1.000000,1.000000,1.000000
Dataset_25,25,Chats,structured,1,secure,14,3,1,0.823529,0.933333,0.875000
Dataset_26,26,Chats,structured,2,secure,14,0,0,1.000000,1.000000,1.000000
Dataset_27,27,Chats,regular,1,secure,21,0,0,1.000000,1.000000,1.000000
Dataset_28,28,Chats,regular,2,secure,24,2,0,0.923077,1.000000,0.960000
Dataset_29,29,Chats,unstructured,1,secure,23,0,0,1.000000,1.000000,1.000000
Dataset_30,30,Chats,unstructured,2,secure,22,1,0,0.956522,1.000000,0.977778
