policy,domain,label,tp,fp,fn,precision,recall,f1
secure,Chats,DATUM,14,0,0,1.000000,1.000000,1.000000
secure,Chats,E_MAIL,8,0,0,1.000000,1.000000,1.000000
secure,Chats,IP_ADRESSE,2,0,0,1.000000,1.000000,1.000000
secure,Chats,LOC,7,0,0,1.000000,1.000000,1.000000
secure,Chats,ORG,8,3,0,0.727273,1.000000,0.842105
secure,Chats,PER,67,0,0,1.000000,1.000000,1.000000
secure,Chats,PLZ,2,1,0,0.666667,1.000000,0.800000
secure,Chats,STRASSE,6,0,0,1.000000,1.000000,1.000000
secure,Chats,TELEFON,2,0,0,1.000000,1.000000,1.000000
secure,Chats,URL,4,0,0,1.000000,1.000000,1.000000
secure,E-Mail,DATUM,15,0,0,1.000000,1.000000,1.000000
secure,E-Mail,E_MAIL,18,0,0,1.000000,1.000000,1.000000
secure,E-Mail,IBAN,1,0,0,1.000000,1.000000,1.000000
secure,E-Mail,LOC,1,0,0,1.000000,1.000000,1.000000
secure,E-Mail,ORG,10,0,0,1.000000,1.000000,1.000000
secure,E-Mail,PER,14,0,0,1.000000,1.000000,1.000000
secure,E-Mail,TELEFON,6,0,0,1.000000,1.000000,1.000000
secure,E-Mail,URL,2,0,0,1.000000,1.000000,1.000000
secure,HR-Dokumente,DATUM,22,0,0,1.000000,1.000000,1.000000
secure,HR-Dokumente,E_MAIL,7,0,0,1.000000,1.000000,1.000000
secure,HR-Dokumente,LOC,13,2,0,0.866667,1.000000,0.928571
secure,HR-Dokumente,ORG,17,3,2,0.850000,0.894737,0.871795
secure,HR-Dokumente,PER,8,0,0,1.000000,1.000000,1.000000
secure,HR-Dokumente,PLZ,5,0,0,1.000000,1.000000,1.000000
secure,HR-Dokumente,STRASSE,2,0,0,1.000000,1.000000,1.000000
secure,HR-Dokumente,TELEFON,6,0,0,1.000000,1.000000,1.000000
secure,Supporttickets,DATUM,9,0,0,1.000000,1.000000,1.000000
secure,Supporttickets,E_MAIL,6,0,0,1.000000,1.000000,1.000000
secure,Supporttickets,ORG,7,0,0,1.000000,1.000000,1.000000
secure,Supporttickets,PER,10,0,0,1.000000,1.000000,1.000000
secure,Supporttickets,TELEFON,6,0,0,1.000000,1.000000,1.000000
secure,Supporttickets,URL,5,0,0,1.000000,1.000000,1.000000
secure,Verträge,DATUM,12,0,0,1.000000,1.000000,1.000000
secure,Verträge,IBAN,1,0,0,1.000000,1.000000,1.000000
secure,Verträge,LOC,25,0,0,1.000000,1.000000,1.000000
secure,Verträge,ORG,8,2,0,0.800000,1.000000,0.888889
secure,Verträge,PER,24,0,0,1.000000,1.000000,1.000000
secure,Verträge,PLZ,14,0,0,1.000000,1.000000,1.000000
secure,Verträge,STRASSE,13,1,1,0.928571,0.928571,0.928571
