policy,structure,label,tp,fp,fn,precision,recall,f1
secure,regular,DATUM,23,0,0,1.000000,1.000000,1.000000
secure,regular,E_MAIL,14,0,0,1.000000,1.000000,1.000000
secure,regular,LOC,17,0,0,1.000000,1.000000,1.000000
secure,regular,ORG,13,2,1,0.866667,0.928571,0.896552
secure,regular,PER,44,1,0,0.977778,1.000000,0.988764
secure,regular,PLZ,8,1,0,0.888889,1.000000,0.941176
secure,regular,STRASSE,8,0,0,1.000000,1.000000,1.000000
secure,regular,TELEFON,7,0,0,1.000000,1.000000,1.000000
secure,regular,URL,2,0,0,1.000000,1.000000,1.000000
secure,structured,DATUM,24,0,0,1.000000,1.000000,1.000000
secure,structured,E_MAIL,12,0,0,1.000000,1.000000,1.000000
secure,structured,IBAN,2,0,0,1.000000,1.000000,1.000000
secure,structured,IP_ADRESSE,1,0,0,1.000000,1.000000,1.000000
secure,structured,LOC,16,2,1,0.888889,0.941176,0.914286
secure,structured,ORG,16,4,1,0.800000,0.941176,0.864865
secure,structured,PER,33,0,0,1.000000,1.000000,1.000000
secure,structured,PLZ,8,0,0,1.000000,1.000000,1.000000
secure,structured,STRASSE,7,1,1,0.875000,0.875000,0.875000
secure,structured,TELEFON,7,0,0,1.000000,1.000000,1.000000
secure,structured,URL,4,0,0,1.000000,1.000000,1.000000
secure,unstructured,DATUM,25,0,0,1.000000,1.000000,1.000000
secure,unstructured,E_MAIL,13,0,0,1.000000,1.000000,1.000000
secure,unstructured,IP_ADRESSE,1,0,0,1.000000,1.000000,1.000000
secure,unstructured,LOC,12,0,0,1.000000,1.000000,1.000000
secure,unstructured,ORG,22,2,0,0.916667,1.000000,0.956522
secure,unstructured,PER,45,0,0,1.000000,1.000000,1.000000
secure,unstructured,PLZ,5,0,0,1.000000,1.000000,1.000000
secure,unstructured,STRASSE,6,0,0,1.000000,1.000000,1.000000
secure,unstructured,TELEFON,6,0,0,1.000000,1.000000,1.000000
secure,unstructured,URL,5,0,0,1.000000,1.000000,1.000000
