policy,domain,structure,label,tp,fp,fn,precision,recall,f1
minimal,Chats,regular,E_MAIL,4,0,0,1.000000,1.000000,1.000000
minimal,Chats,regular,PER,21,1,1,0.954545,0.954545,0.954545
minimal,Chats,regular,STRASSE,3,0,0,1.000000,1.000000,1.000000
minimal,Chats,regular,TELEFON,1,0,0,1.000000,1.000000,1.000000
minimal,Chats,structured,E_MAIL,2,0,0,1.000000,1.000000,1.000000
minimal,Chats,structured,IP_ADRESSE,1,0,0,1.000000,1.000000,1.000000
minimal,Chats,structured,PER,17,1,1,0.944444,0.944444,0.944444
minimal,Chats,structured,STRASSE,1,0,0,1.000000,1.000000,1.000000
minimal,Chats,structured,TELEFON,1,0,0,1.000000,1.000000,1.000000
minimal,Chats,unstructured,E_MAIL,2,0,0,1.000000,1.000000,1.000000
minimal,Chats,unstructured,IP_ADRESSE,1,0,0,1.000000,1.000000,1.000000
minimal,Chats,unstructured,PER,26,0,0,1.000000,1.000000,1.000000
minimal,Chats,unstructured,STRASSE,2,0,0,1.000000,1.000000,1.000000
minimal,E-Mail,regular,E_MAIL,6,0,0,1.000000,1.000000,1.000000
minimal,E-Mail,regular,PER,3,0,0,1.000000,1.000000,1.000000
minimal,E-Mail,regular,TELEFON,2,0,0,1.000000,1.000000,1.000000
minimal,E-Mail,structured,E_MAIL,6,0,0,1.000000,1.000000,1.000000
minimal,E-Mail,structured,IBAN,1,0,0,1.000000,1.000000,1.000000
minimal,E-Mail,structured,PER,5,0,0,1.000000,1.000000,1.000000
minimal,E-Mail,structured,TELEFON,2,0,0,1.000000,1.000000,1.000000
minimal,E-Mail,unstructured,E_MAIL,6,0,0,1.000000,1.000000,1.000000
minimal,E-Mail,unstructured,PER,6,0,0,1.000000,1.000000,1.000000
minimal,E-Mail,unstructured,TELEFON,2,0,0,1.000000,1.000000,1.000000
minimal,HR-Dokumente,regular,E_MAIL,2,0,0,1.000000,1.000000,1.000000
minimal,HR-Dokumente,regular,PER,3,0,0,1.000000,1.000000,1.000000
minimal,HR-Dokumente,regular,STRASSE,1,0,0,1.000000,1.000000,1.000000
minimal,HR-Dokumente,regular,TELEFON,2,0,0,1.000000,1.000000,1.000000
minimal,HR-Dokumente,structured,E_MAIL,2,0,0,1.000000,1.000000,1.000000
minimal,HR-Dokumente,structured,PER,2,0,0,1.000000,1.000000,1.000000
minimal,HR-Dokumente,structured,STRASSE,1,0,0,1.000000,1.000000,1.000000
minimal,HR-Dokumente,structured,TELEFON,2,0,0,1.000000,1.000000,1.000000
minimal,HR-Dokumente,unstructured,E_MAIL,3,0,0,1.000000,1.000000,1.000000
minimal,HR-Dokumente,unstructured,PER,3,0,0,1.000000,1.000000,1.000000
minimal,HR-Dokumente,unstructured,TELEFON,2,0,0,1.000000,1.000000,1.000000
minimal,Supporttickets,regular,E_MAIL,2,0,0,1.000000,1.000000,1.000000
minimal,Supporttickets,regular,PER,4,0,0,1.000000,1.000000,1.000000
minimal,Supporttickets,regular,TELEFON,2,0,0,1.000000,1.000000,1.000000
minimal,Supporttickets,structured,E_MAIL,2,0,0,1.000000,1.000000,1.000000
minimal,Supporttickets,structured,PER,2,0,0,1.000000,1.000000,1.000000
minimal,Supporttickets,structured,TELEFON,2,0,0,1.000000,1.000000,1.000000
minimal,Supporttickets,unstructured,E_MAIL,2,0,0,1.000000,1.000000,1.000000
minimal,Supporttickets,unstructured,PER,4,0,0,1.000000,1.000000,1.000000
minimal,Supporttickets,unstructured,TELEFON,2,0,0,1.000000,1.000000,1.000000
minimal,Verträge,regular,PER,12,0,0,1.000000,1.000000,1.000000
minimal,Verträge,regular,STRASSE,4,0,0,1.000000,1.000000,1.000000
minimal,Verträge,structured,IBAN,1,0,0,1.000000,1.000000,1.000000
minimal,Verträge,structured,PER,6,0,0,1.000000,1.000000,1.000000
minimal,Verträge,structured,STRASSE,6,0,0,1.000000,1.000000,1.000000
minimal,Verträge,unstructured,PER,6,0,0,1.000000,1.000000,1.000000
minimal,Verträge,unstructured,STRASSE,4,0,0,1.000000,1.000000,1.000000
