policy,domain,structure,tp,fp,fn,precision,recall,f1
secure,Chats,regular,44,2,1,0.956522,0.977778,0.967033
secure,Chats,structured,29,2,0,0.935484,1.000000,0.966667
secure,Chats,unstructured,45,1,0,0.978261,1.000000,0.989011
secure,E-Mail,regular,18,0,0,1.000000,1.000000,1.000000
secure,E-Mail,structured,22,1,1,0.956522,0.956522,0.956522
secure,E-Mail,unstructured,25,0,1,1.000000,0.961538,0.980392
secure,HR-Dokumente,regular,27,2,1,0.931034,0.964286,0.947368
secure,HR-Dokumente,structured,30,2,1,0.937500,0.967742,0.952381
secure,HR-Dokumente,unstructured,23,0,0,1.000000,1.000000,1.000000
secure,Supporttickets,regular,13,0,0,1.000000,1.000000,1.000000
secure,Supporttickets,structured,14,0,0,1.000000,1.000000,1.000000
secure,Supporttickets,unstructured,16,0,0,1.000000,1.000000,1.000000
secure,Verträge,regular,33,0,0,1.000000,1.000000,1.000000
secure,Verträge,structured,36,1,0,0.972973,1.000000,0.986301
secure,Verträge,unstructured,30,0,0,1.000000,1.000000,1.000000
