policy,domain,structure,label,tp,fp,fn,precision,recall,f1
secure,Chats,regular,DATUM,6,0,0,1.000000,1.000000,1.000000
secure,Chats,regular,E_MAIL,4,0,0,1.000000,1.000000,1.000000
secure,Chats,regular,LOC,4,0,0,1.000000,1.000000,1.000000
secure,Chats,regular,ORG,3,0,0,1.000000,1.000000,1.000000
secure,Chats,regular,PER,21,1,1,0.954545,0.954545,0.954545
secure,Chats,regular,PLZ,2,1,0,0.666667,1.000000,0.800000
secure,Chats,regular,STRASSE,3,0,0,1.000000,1.000000,1.000000
secure,Chats,regular,TELEFON,1,0,0,1.000000,1.000000,1.000000
secure,Chats,structured,DATUM,2,0,0,1.000000,1.000000,1.000000
secure,Chats,structured,E_MAIL,2,0,0,1.000000,1.000000,1.000000
secure,Chats,structured,IP_ADRESSE,1,0,0,1.000000,1.000000,1.000000
secure,Chats,structured,LOC,1,0,0,1.000000,1.000000,1.000000
secure,Chats,structured,ORG,1,2,0,0.333333,1.000000,0.500000
secure,Chats,structured,PER,17,1,1,0.944444,0.944444,0.944444
secure,Chats,structured,STRASSE,1,0,0,1.000000,1.000000,1.000000
secure,Chats,structured,TELEFON,1,0,0,1.000000,1.000000,1.000000
secure,Chats,structured,URL,2,0,0,1.000000,1.000000,1.000000
secure,Chats,unstructured,DATUM,6,0,0,1.000000,1.000000,1.000000
secure,Chats,unstructured,E_MAIL,2,0,0,1.000000,1.000000,1.000000
secure,Chats,unstructured,IP_ADRESSE,1,0,0,1.000000,1.000000,1.000000
secure,Chats,unstructured,LOC,2,0,0,1.000000,1.000000,1.000000
secure,Chats,unstructured,ORG,4,1,0,0.800000,1.000000,0.888889
secure,Chats,unstructured,PER,26,0,0,1.000000,1.000000,1.000000
secure,Chats,unstructured,STRASSE,2,0,0,1.000000,1.000000,1.000000
secure,Chats,unstructured,URL,2,0,0,1.000000,1.000000,1.000000
secure,E-Mail,regular,DATUM,4,0,0,1.000000,1.000000,1.000000
secure,E-Mail,regular,E_MAIL,6,0,0,1.000000,1.000000,1.000000
secure,E-Mail,regular,ORG,2,0,0,1.000000,1.000000,1.000000
secure,E-Mail,regular,PER,3,0,0,1.000000,1.000000,1.000000
secure,E-Mail,regular,TELEFON,2,0,0,1.000000,1.000000,1.000000
secure,E-Mail,regular,URL,1,0,0,1.000000,1.000000,1.000000
secure,E-Mail,structured,DATUM,5,0,0,1.000000,1.000000,1.000000
secure,E-Mail,structured,E_MAIL,6,0,0,1.000000,1.000000,1.000000
secure,E-Mail,structured,IBAN,1,0,0,1.000000,1.000000,1.000000
secure,E-Mail,structured,LOC,0,1,1,0.000000,0.000000,0.000000
secure,E-Mail,structured,ORG,3,0,0,1.000000,1.000000,1.000000
secure,E-Mail,structured,PER,5,0,0,1.000000,1.000000,1.000000
secure,E-Mail,structured,TELEFON,2,0,0,1.000000,1.000000,1.000000
secure,E-Mail,unstructured,DATUM,6,0,0,1.000000,1.000000,1.000000
secure,E-Mail,unstructured,E_MAIL,6,0,0,1.000000,1.000000,1.000000
secure,E-Mail,unstructured,ORG,4,0,1,1.000000,0.800000,0.888889
