policy,structure,label,tp,fp,fn,precision,recall,f1
secure,regular,DATUM,23,0,0,1.000000,1.000000,1.000000
secure,regular,E_MAIL,14,0,0,1.000000,1.000000,1.000000
secure,regular,LOC,17,1,0,0.944444,1.000000,0.971429
secure,regular,ORG,12,2,1,0.857143,0.923077,0.888889
secure,regular,PER,45,0,0,1.000000,1.000000,1.000000
secure,regular,PLZ,8,1,0,0.888889,1.000000,0.941176
secure,regular,STRASSE,8,0,0,1.000000,1.000000,1.000000
secure,regular,TELEFON,7,0,0,1.000000,1.000000,1.000000
secure,regular,URL,2,0,0,1.000000,1.000000,1.000000
secure,structured,DATUM,24,0,0,1.000000,1.000000,1.000000
secure,structured,E_MAIL,12,0,0,1.000000,1.000000,1.000000
secure,structured,IBAN,2,0,0,1.000000,1.000000,1.000000
secure,structured,IP_ADRESSE,1,0,0,1.000000,1.000000,1.000000
secure,structured,LOC,17,1,0,0.944444,1.000000,0.971429
secure,structured,ORG,16,4,1,0.800000,0.941176,0.864865
secure,structured,PER,33,0,0,1.000000,1.000000,1.000000
secure,structured,PLZ,8,0,0,1.000000,1.000000,1.000000
secure,structured,STRASSE,8,0,0,1.000000,1.000000,1.000000
secure,structured,TELEFON,7,0,0,1.000000,1.000000,1.000000
secure,structured,URL,4,0,0,1.000000,1.000000,1.000000
secure,unstructured,DATUM,25,0,0,1.000000,1.000000,1.000000
secure,unstructured,E_MAIL,13,0,0,1.000000,1.000000,1.000000
secure,unstructured,IP_ADRESSE,1,0,0,1.000000,1.000000,1.000000
secure,unstructured,LOC,12,0,0,1.000000,1.000000,1.000000
secure,unstructured,ORG,22,1,0,0.956522,1.000000,0.977778
secure,unstructured,PER,45,0,0,1.000000,1.000000,1.000000
secure,unstructured,PLZ,5,0,0,1.000000,1.000000,1.000000
secure,unstructured,STRASSE,6,0,0,1.000000,1.000000,1.000000
secure,unstructured,TELEFON,6,0,0,1.000000,1.000000,1.000000
secure,unstructured,URL,5,0,0,1.000000,1.000000,1.000000
