dataset,dataset_index,domain,structure,variant,policy,mode,tp,fp,fn,precision,recall,f1
Dataset_01,1,Supporttickets,structured,1,minimal,regex,2,0,0,1.000000,1.000000,1.000000
Dataset_01,1,Supporttickets,structured,1,minimal,ner,1,0,0,1.000000,1.000000,1.000000
Dataset_01,1,Supporttickets,structured,1,minimal,combined,3,0,0,1.000000,1.000000,1.000000
Dataset_02,2,Supporttickets,structured,2,minimal,regex,2,0,0,1.000000,1.000000,1.000000
Dataset_02,2,Supporttickets,structured,2,minimal,ner,1,0,0,1.000000,1.000000,1.000000
Dataset_02,2,Supporttickets,structured,2,minimal,combined,3,0,0,1.000000,1.000000,1.000000
Dataset_03,3,Supporttickets,regular,1,minimal,regex,2,0,0,1.000000,1.000000,1.000000
Dataset_03,3,Supporttickets,regular,1,minimal,ner,1,0,1,1.000000,0.500000,0.666667
Dataset_03,3,Supporttickets,regular,1,minimal,combined,3,0,1,1.000000,0.750000,0.857143
Dataset_04,4,Supporttickets,regular,2,minimal,regex,2,0,0,1.000000,1.000000,1.000000
Dataset_04,4,Supporttickets,regular,2,minimal,ner,2,0,0,1.000000,1.000000,1.000000
Dataset_04,4,Supporttickets,regular,2,minimal,combined,4,0,0,1.000000,1.000000,1.000000
Dataset_05,5,Supporttickets,unstructured,1,minimal,regex,2,0,0,1.000000,1.000000,1.000000
Dataset_05,5,Supporttickets,unstructured,1,minimal,ner,2,0,0,1.000000,1.000000,1.000000
Dataset_05,5,Supporttickets,unstructured,1,minimal,combined,4,0,0,1.000000,1.000000,1.000000
Dataset_06,6,Supporttickets,unstructured,2,minimal,regex,2,0,0,1.000000,1.000000,1.000000
Dataset_06,6,Supporttickets,unstructured,2,minimal,ner,2,0,0,1.000000,1.000000,1.000000
Dataset_06,6,Supporttickets,unstructured,2,minimal,combined,4,0,0,1.000000,1.000000,1.000000
Dataset_07,7,E-Mail,structured,1,minimal,regex,5,0,0,1.000000,1.000000,1.000000
Dataset_07,7,E-Mail,structured,1,minimal,ner,2,0,1,1.000000,0.666667,0.800000
Dataset_07,7,E-Mail,structured,1,minimal,combined,7,0,1,1.000000,0.875000,0.933333
Dataset_08,8,E-Mail,structured,2,minimal,regex,4,0,0,1.000000,1.000000,1.000000
Dataset_08,8,E-Mail,structured,2,minimal,ner,2,0,0,1.000000,1.000000,1.000000
Dataset_08,8,E-Mail,structured,2,minimal,combined,6,0,0,1.000000,1.000000,1.000000
Dataset_09,9,E-Mail,regular,1,minimal,regex,4,0,0,1.000000,1.000000,1.000000
Dataset_09,9,E-Mail,regular,1,minimal,ner,0,0,1,0.000000,0.000000,0.000000
Dataset_09,9,E-Mail,regular,1,minimal,combined,4,0,1,1.000000,0.800000,0.888889
Dataset_10,10,E-Mail,regular,2,minimal,regex,4,0,0,1.000000,1.000000,1.000000
Dataset_10,10,E-Mail,regular,2,minimal,ner,1,0,1,1.000000,0.500000,0.666667
Dataset_10,10,E-Mail,regular,2,minimal,combined,5,0,1,1.000000,0.833333,0.909091
Dataset_11,11,E-Mail,unstructured,1,minimal,regex,4,0,0,1.000000,1.000000,1.000000
Dataset_11,11,E-Mail,unstructured,1,minimal,ner,2,2,2,0.500000,0.500000,0.500000
Dataset_11,11,E-Mail,unstructured,1,minimal,combined,6,2,2,0.750000,0.750000,0.750000
Dataset_12,12,E-Mail,unstructured,2,minimal,regex,4,0,0,1.000000,1.000000,1.000000
Dataset_12,12,E-Mail,unstructured,2,minimal,ner,1,0,1,1.000000,0.500000,0.666667
Dataset_12,12,E-Mail,unstructured,2,minimal,combined,5,0,1,1.000000,0.833333,0.909091
Dataset_13,13,HR-Dokumente,structured,1,minimal,regex,2,0,0,1.000000,1.000000,1.000000
Dataset_13,13,HR-Dokumente,structured,1,minimal,ner,1,0,0,1.000000,1.000000,1.000000
Dataset_13,13,HR-Dokumente,structured,1,minimal,combined,3,0,0,1.000000,1.000000,1.000000
Dataset_14,14,HR-Dokumente,structured,2,minimal,regex,3,0,0,1.000000,1.000000,1.000000
Dataset_14,14,HR-Dokumente,structured,2,minimal,ner,1,0,1,1.000000,0.500000,0.666667
Dataset_14,14,HR-Dokumente,structured,2,minimal,combined,4,0,0,1.000000,1.000000,1.000000
Dataset_15,15,HR-Dokumente,regular,1,minimal,regex,2,1,0,0.666667,1.000000,0.800000
Dataset_15,15,HR-Dokumente,regular,1,minimal,ner,2,1,0,0.666667,1.000000,0.800000
Dataset_15,15,HR-Dokumente,regular,1,minimal,combined,4,1,0,0.800000,1.000000,0.888889
Dataset_16,16,HR-Dokumente,regular,2,minimal,regex,2,0,0,1.000000,1.000000,1.000000
Dataset_16,16,HR-Dokumente,regular,2,minimal,ner,1,0,0,1.000000,1.000000,1.000000
Dataset_16,16,HR-Dokumente,regular,2,minimal,combined,3,0,0,1.000000,1.000000,1.000000
Dataset_17,17,HR-Dokumente,unstructured,1,minimal,regex,2,0,0,1.000000,1.000000,1.000000
Dataset_17,17,HR-Dokumente,unstructured,1,minimal,ner,0,0,1,0.000000,0.000000,0.000000
Dataset_17,17,HR-Dokumente,unstructured,1,minimal,combined,2,0,1,1.000000,0.666667,0.800000
Dataset_18,18,HR-Dokumente,unstructured,2,minimal,regex,3,0,0,1.000000,1.000000,1.000000
Dataset_18,18,HR-Dokumente,unstructured,2,minimal,ner,2,1,0,0.666667,1.000000,0.800000
Dataset_18,18,HR-Dokumente,unstructured,2,minimal,combined,5,1,0,0.833333,1.000000,0.909091
Dataset_19,19,Verträge,structured,1,minimal,regex,3,1,0,0.750000,1.000000,0.857143
Dataset_19,19,Verträge,structured,1,minimal,ner,6,1,0,0.857143,1.000000,0.923077
Dataset_19,19,Verträge,structured,1,minimal,combined,7,1,0,0.875000,1.000000,0.933333
Dataset_20,20,Verträge,structured,2,minimal,regex,2,0,1,1.000000,0.666667,0.800000
Dataset_20,20,Verträge,structured,2,minimal,ner,5,0,0,1.000000,1.000000,1.000000
Dataset_20,20,Verträge,structured,2,minimal,combined,5,0,0,1.000000,1.000000,1.000000
Dataset_21,21,Verträge,regular,1,minimal,regex,2,0,0,1.000000,1.000000,1.000000
Dataset_21,21,Verträge,regular,1,minimal,ner,4,0,2,1.000000,0.666667,0.800000
Dataset_21,21,Verträge,regular,1,minimal,combined,4,0,2,1.000000,0.666667,0.800000
Dataset_22,22,Verträge,regular,2,minimal,regex,2,0,0,1.000000,1.000000,1.000000
Dataset_22,22,Verträge,regular,2,minimal,ner,5,0,2,1.000000,0.714286,0.833333
Dataset_22,22,Verträge,regular,2,minimal,combined,5,0,2,1.000000,0.714286,0.833333
Dataset_23,23,Verträge,unstructured,1,minimal,regex,2,0,0,1.000000,1.000000,1.000000
