policy,mode,domain,structure,tp,fp,fn,precision,recall,f1
minimal,combined,Chats,regular,29,0,1,1.000000,0.966667,0.983051
minimal,combined,Chats,structured,23,2,1,0.920000,0.958333,0.938776
minimal,combined,Chats,unstructured,29,2,2,0.935484,0.935484,0.935484
minimal,combined,E-Mail,regular,9,0,2,1.000000,0.818182,0.900000
minimal,combined,E-Mail,structured,13,0,1,1.000000,0.928571,0.962963
minimal,combined,E-Mail,unstructured,11,2,3,0.846154,0.785714,0.814815
minimal,combined,HR-Dokumente,regular,8,0,0,1.000000,1.000000,1.000000
minimal,combined,HR-Dokumente,structured,7,0,0,1.000000,1.000000,1.000000
minimal,combined,HR-Dokumente,unstructured,7,1,1,0.875000,0.875000,0.875000
minimal,combined,Supporttickets,regular,7,0,1,1.000000,0.875000,0.933333
minimal,combined,Supporttickets,structured,6,0,0,1.000000,1.000000,1.000000
minimal,combined,Supporttickets,unstructured,8,0,0,1.000000,1.000000,1.000000
minimal,combined,Verträge,regular,9,2,7,0.818182,0.562500,0.666667
minimal,combined,Verträge,structured,13,0,0,1.000000,1.000000,1.000000
minimal,combined,Verträge,unstructured,9,1,1,0.900000,0.900000,0.900000
minimal,ner,Chats,regular,23,0,2,1.000000,0.920000,0.958333
minimal,ner,Chats,structured,19,2,1,0.904762,0.950000,0.926829
minimal,ner,Chats,unstructured,25,3,3,0.892857,0.892857,0.892857
minimal,ner,E-Mail,regular,1,0,2,1.000000,0.333333,0.500000
minimal,ner,E-Mail,structured,4,0,1,1.000000,0.800000,0.888889
minimal,ner,E-Mail,unstructured,3,2,3,0.600000,0.500000,0.545455
minimal,ner,HR-Dokumente,regular,4,0,0,1.000000,1.000000,1.000000
minimal,ner,HR-Dokumente,structured,2,0,1,1.000000,0.666667,0.800000
minimal,ner,HR-Dokumente,unstructured,2,1,1,0.666667,0.666667,0.666667
minimal,ner,Supporttickets,regular,3,0,1,1.000000,0.750000,0.857143
minimal,ner,Supporttickets,structured,2,0,0,1.000000,1.000000,1.000000
minimal,ner,Supporttickets,unstructured,4,0,0,1.000000,1.000000,1.000000
minimal,ner,Verträge,regular,9,2,7,0.818182,0.562500,0.666667
minimal,ner,Verträge,structured,12,0,0,1.000000,1.000000,1.000000
minimal,ner,Verträge,unstructured,8,2,2,0.800000,0.800000,0.800000
minimal,regex,Chats,regular,8,0,0,1.000000,1.000000,1.000000
minimal,regex,Chats,structured,5,0,0,1.000000,1.000000,1.000000
minimal,regex,Chats,unstructured,5,0,0,1.000000,1.000000,1.000000
minimal,regex,E-Mail,regular,8,0,0,1.000000,1.000000,1.000000
minimal,regex,E-Mail,structured,9,0,0,1.000000,1.000000,1.000000
minimal,regex,E-Mail,unstructured,8,0,0,1.000000,1.000000,1.000000
minimal,regex,HR-Dokumente,regular,5,0,0,1.000000,1.000000,1.000000
minimal,regex,HR-Dokumente,structured,5,0,0,1.000000,1.000000,1.000000
minimal,regex,HR-Dokumente,unstructured,5,0,0,1.000000,1.000000,1.000000
minimal,regex,Supporttickets,regular,4,0,0,1.000000,1.000000,1.000000
minimal,regex,Supporttickets,structured,4,0,0,1.000000,1.000000,1.000000
minimal,regex,Supporttickets,unstructured,4,0,0,1.000000,1.000000,1.000000
minimal,regex,Verträge,regular,4,0,0,1.000000,1.000000,1.000000
minimal,regex,Verträge,structured,6,0,1,1.000000,0.857143,0.923077
minimal,regex,Verträge,unstructured,4,0,0,1.000000,1.000000,1.000000
