policy,mode,domain,structure,label,tp,fp,fn,precision,recall,f1
minimal,combined,Chats,regular,E_MAIL,4,0,0,1.000000,1.000000,1.000000
minimal,combined,Chats,regular,PER,21,0,1,1.000000,0.954545,0.976744
minimal,combined,Chats,regular,STRASSE,3,0,0,1.000000,1.000000,1.000000
minimal,combined,Chats,regular,TELEFON,1,0,0,1.000000,1.000000,1.000000
minimal,combined,Chats,structured,E_MAIL,2,0,0,1.000000,1.000000,1.000000
minimal,combined,Chats,structured,IP_ADRESSE,1,0,0,1.000000,1.000000,1.000000
minimal,combined,Chats,structured,PER,18,2,1,0.900000,0.947368,0.923077
minimal,combined,Chats,structured,STRASSE,1,0,0,1.000000,1.000000,1.000000
minimal,combined,Chats,structured,TELEFON,1,0,0,1.000000,1.000000,1.000000
minimal,combined,Chats,unstructured,E_MAIL,2,0,0,1.000000,1.000000,1.000000
minimal,combined,Chats,unstructured,IP_ADRESSE,1,0,0,1.000000,1.000000,1.000000
minimal,combined,Chats,unstructured,PER,24,2,2,0.923077,0.923077,0.923077
minimal,combined,Chats,unstructured,STRASSE,2,0,0,1.000000,1.000000,1.000000
minimal,combined,E-Mail,regular,E_MAIL,6,0,0,1.000000,1.000000,1.000000
minimal,combined,E-Mail,regular,PER,1,0,2,1.000000,0.333333,0.500000
minimal,combined,E-Mail,regular,TELEFON,2,0,0,1.000000,1.000000,1.000000
minimal,combined,E-Mail,structured,E_MAIL,6,0,0,1.000000,1.000000,1.000000
minimal,combined,E-Mail,structured,IBAN,1,0,0,1.000000,1.000000,1.000000
minimal,combined,E-Mail,structured,PER,4,0,1,1.000000,0.800000,0.888889
minimal,combined,E-Mail,structured,TELEFON,2,0,0,1.000000,1.000000,1.000000
minimal,combined,E-Mail,unstructured,E_MAIL,6,0,0,1.000000,1.000000,1.000000
minimal,combined,E-Mail,unstructured,PER,3,2,3,0.600000,0.500000,0.545455
minimal,combined,E-Mail,unstructured,TELEFON,2,0,0,1.000000,1.000000,1.000000
minimal,combined,HR-Dokumente,regular,E_MAIL,2,0,0,1.000000,1.000000,1.000000
minimal,combined,HR-Dokumente,regular,PER,3,0,0,1.000000,1.000000,1.000000
