policy,mode,label,tp,fp,fn,precision,recall,f1
minimal,combined,E_MAIL,39,0,0,1.000000,1.000000,1.000000
minimal,combined,IBAN,2,0,0,1.000000,1.000000,1.000000
minimal,combined,IP_ADRESSE,2,0,0,1.000000,1.000000,1.000000
minimal,combined,PER,98,6,12,0.942308,0.890909,0.915888
minimal,combined,STRASSE,19,2,0,0.904762,1.000000,0.950000
minimal,combined,TELEFON,19,0,0,1.000000,1.000000,1.000000
minimal,ner,PER,98,8,12,0.924528,0.890909,0.907407
minimal,ner,STRASSE,16,2,4,0.888889,0.800000,0.842105
minimal,regex,E_MAIL,39,0,0,1.000000,1.000000,1.000000
minimal,regex,IBAN,2,0,0,1.000000,1.000000,1.000000
minimal,regex,IP_ADRESSE,2,0,0,1.000000,1.000000,1.000000
minimal,regex,STRASSE,18,2,1,0.900000,0.947368,0.923077
minimal,regex,TELEFON,19,0,0,1.000000,1.000000,1.000000
