policy,mode,structure,label,tp,fp,fn,precision,recall,f1
minimal,combined,regular,E_MAIL,14,0,0,1.000000,1.000000,1.000000
minimal,combined,regular,PER,33,2,11,0.942857,0.750000,0.835443
minimal,combined,regular,STRASSE,8,0,0,1.000000,1.000000,1.000000
minimal,combined,regular,TELEFON,7,0,0,1.000000,1.000000,1.000000
minimal,combined,structured,E_MAIL,12,0,0,1.000000,1.000000,1.000000
minimal,combined,structured,IBAN,2,0,0,1.000000,1.000000,1.000000
minimal,combined,structured,IP_ADRESSE,1,0,0,1.000000,1.000000,1.000000
minimal,combined,structured,PER,32,2,2,0.941176,0.941176,0.941176
minimal,combined,structured,STRASSE,8,0,0,1.000000,1.000000,1.000000
minimal,combined,structured,TELEFON,7,0,0,1.000000,1.000000,1.000000
minimal,combined,unstructured,E_MAIL,13,0,0,1.000000,1.000000,1.000000
minimal,combined,unstructured,IP_ADRESSE,1,0,0,1.000000,1.000000,1.000000
minimal,combined,unstructured,PER,38,6,7,0.863636,0.844444,0.853933
minimal,combined,unstructured,STRASSE,6,0,0,1.000000,1.000000,1.000000
minimal,combined,unstructured,TELEFON,6,0,0,1.000000,1.000000,1.000000
minimal,ner,regular,PER,33,2,11,0.942857,0.750000,0.835443
minimal,ner,regular,STRASSE,7,0,1,1.000000,0.875000,0.933333
minimal,ner,structured,PER,32,2,2,0.941176,0.941176,0.941176
minimal,ner,structured,STRASSE,7,0,1,1.000000,0.875000,0.933333
minimal,ner,unstructured,PER,38,8,7,0.826087,0.844444,0.835165
minimal,ner,unstructured,STRASSE,4,0,2,1.000000,0.666667,0.800000
minimal,regex,regular,E_MAIL,14,0,0,1.000000,1.000000,1.000000
minimal,regex,regular,STRASSE,8,0,0,1.000000,1.000000,1.000000
minimal,regex,regular,TELEFON,7,0,0,1.000000,1.000000,1.000000
minimal,regex,structured,E_MAIL,12,0,0,1.000000,1.000000,1.000000
minimal,regex,structured,IBAN,2,0,0,1.000000,1.000000,1.000000
minimal,regex,structured,IP_ADRESSE,1,0,0,1.000000,1.000000,1.000000
minimal,regex,structured,STRASSE,7,0,1,1.000000,0.875000,0.933333
minimal,regex,structured,TELEFON,7,0,0,1.000000,1.000000,1.000000
minimal,regex,unstructured,E_MAIL,13,0,0,1.000000,1.000000,1.000000
minimal,regex,unstructured,IP_ADRESSE,1,0,0,1.000000,1.000000,1.000000
minimal,regex,unstructured,STRASSE,6,0,0,1.000000,1.000000,1.000000
minimal,regex,unstructured,TELEFON,6,0,0,1.000000,1.000000,1.000000
