policy,mode,domain,label,tp,fp,fn,precision,recall,f1
minimal,combined,Chats,E_MAIL,8,0,0,1.000000,1.000000,1.000000
minimal,combined,Chats,IP_ADRESSE,2,0,0,1.000000,1.000000,1.000000
minimal,combined,Chats,PER,63,5,3,0.926471,0.954545,0.940299
minimal,combined,Chats,STRASSE,6,0,0,1.000000,1.000000,1.000000
minimal,combined,Chats,TELEFON,2,0,0,1.000000,1.000000,1.000000
minimal,combined,E-Mail,E_MAIL,18,0,0,1.000000,1.000000,1.000000
minimal,combined,E-Mail,IBAN,1,0,0,1.000000,1.000000,1.000000
minimal,combined,E-Mail,PER,8,2,6,0.800000,0.571429,0.666667
minimal,combined,E-Mail,TELEFON,6,0,0,1.000000,1.000000,1.000000
minimal,combined,HR-Dokumente,E_MAIL,7,0,0,1.000000,1.000000,1.000000
minimal,combined,HR-Dokumente,PER,6,3,2,0.666667,0.750000,0.705882
minimal,combined,HR-Dokumente,STRASSE,2,0,0,1.000000,1.000000,1.000000
minimal,combined,HR-Dokumente,TELEFON,6,0,0,1.000000,1.000000,1.000000
minimal,combined,Supporttickets,E_MAIL,6,0,0,1.000000,1.000000,1.000000
minimal,combined,Supporttickets,PER,9,3,1,0.750000,0.900000,0.818182
minimal,combined,Supporttickets,TELEFON,6,0,0,1.000000,1.000000,1.000000
minimal,combined,Verträge,IBAN,1,0,0,1.000000,1.000000,1.000000
minimal,combined,Verträge,PER,18,0,6,1.000000,0.750000,0.857143
minimal,combined,Verträge,STRASSE,13,1,1,0.928571,0.928571,0.928571
minimal,ner,Chats,PER,63,6,3,0.913043,0.954545,0.933333
minimal,ner,Chats,STRASSE,0,4,6,0.000000,0.000000,0.000000
minimal,ner,E-Mail,PER,8,2,6,0.800000,0.571429,0.666667
minimal,ner,HR-Dokumente,PER,6,3,2,0.666667,0.750000,0.705882
minimal,ner,HR-Dokumente,STRASSE,1,0,1,1.000000,0.500000,0.666667
minimal,ner,Supporttickets,PER,9,3,1,0.750000,0.900000,0.818182
minimal,ner,Verträge,PER,18,1,6,0.947368,0.750000,0.837209
minimal,ner,Verträge,STRASSE,1,12,13,0.076923,0.071429,0.074074
minimal,regex,Chats,E_MAIL,8,0,0,1.000000,1.000000,1.000000
minimal,regex,Chats,IP_ADRESSE,2,0,0,1.000000,1.000000,1.000000
minimal,regex,Chats,STRASSE,6,0,0,1.000000,1.000000,1.000000
minimal,regex,Chats,TELEFON,2,0,0,1.000000,1.000000,1.000000
minimal,regex,E-Mail,E_MAIL,18,0,0,1.000000,1.000000,1.000000
minimal,regex,E-Mail,IBAN,1,0,0,1.000000,1.000000,1.000000
minimal,regex,E-Mail,TELEFON,6,0,0,1.000000,1.000000,1.000000
minimal,regex,HR-Dokumente,E_MAIL,7,0,0,1.000000,1.000000,1.000000
minimal,regex,HR-Dokumente,STRASSE,2,0,0,1.000000,1.000000,1.000000
minimal,regex,HR-Dokumente,TELEFON,6,0,0,1.000000,1.000000,1.000000
minimal,regex,Supporttickets,E_MAIL,6,0,0,1.000000,1.000000,1.000000
minimal,regex,Supporttickets,TELEFON,6,0,0,1.000000,1.000000,1.000000
minimal,regex,Verträge,IBAN,1,0,0,1.000000,1.000000,1.000000
minimal,regex,Verträge,STRASSE,13,0,1,1.000000,0.928571,0.962963
