policy,mode,domain,structure,tp,fp,fn,precision,recall,f1
minimal,combined,Chats,regular,29,3,1,0.906250,0.966667,0.935484
minimal,combined,Chats,structured,22,1,1,0.956522,0.956522,0.956522
minimal,combined,Chats,unstructured,30,1,1,0.967742,0.967742,0.967742
minimal,combined,E-Mail,regular,9,0,2,1.000000,0.818182,0.900000
minimal,combined,E-Mail,structured,13,0,1,1.000000,0.928571,0.962963
minimal,combined,E-Mail,unstructured,11,2,3,0.846154,0.785714,0.814815
minimal,combined,HR-Dokumente,regular,7,1,1,0.875000,0.875000,0.875000
minimal,combined,HR-Dokumente,structured,7,0,0,1.000000,1.000000,1.000000
minimal,combined,HR-Dokumente,unstructured,7,2,1,0.777778,0.875000,0.823529
minimal,combined,Supporttickets,regular,7,2,1,0.777778,0.875000,0.823529
minimal,combined,Supporttickets,structured,6,1,0,0.857143,1.000000,0.923077
minimal,combined,Supporttickets,unstructured,8,0,0,1.000000,1.000000,1.000000
minimal,combined,Verträge,regular,11,0,5,1.000000,0.687500,0.814815
minimal,combined,Verträge,structured,12,1,1,0.923077,0.923077,0.923077
minimal,combined,Verträge,unstructured,9,0,1,1.000000,0.900000,0.947368
minimal,ner,Chats,regular,21,5,4,0.807692,0.840000,0.823529
minimal,ner,Chats,structured,17,2,2,0.894737,0.894737,0.894737
minimal,ner,Chats,unstructured,25,3,3,0.892857,0.892857,0.892857
minimal,ner,E-Mail,regular,1,0,2,1.000000,0.333333,0.500000
minimal,ner,E-Mail,structured,4,0,1,1.000000,0.800000,0.888889
minimal,ner,E-Mail,unstructured,3,2,3,0.600000,0.500000,0.545455
minimal,ner,HR-Dokumente,regular,3,1,1,0.750000,0.750000,0.750000
minimal,ner,HR-Dokumente,structured,2,0,1,1.000000,0.666667,0.800000
minimal,ner,HR-Dokumente,unstructured,2,2,1,0.500000,0.666667,0.571429
minimal,ner,Supporttickets,regular,3,2,1,0.600000,0.750000,0.666667
minimal,ner,Supporttickets,structured,2,1,0,0.666667,1.000000,0.800000
minimal,ner,Supporttickets,unstructured,4,0,0,1.000000,1.000000,1.000000
minimal,ner,Verträge,regular,8,3,8,0.727273,0.500000,0.592593
minimal,ner,Verträge,structured,6,6,6,0.500000,0.500000,0.500000
minimal,ner,Verträge,unstructured,5,4,5,0.555556,0.500000,0.526316
minimal,regex,Chats,regular,8,0,0,1.000000,1.000000,1.000000
minimal,regex,Chats,structured,5,0,0,1.000000,1.000000,1.000000
minimal,regex,Chats,unstructured,5,0,0,1.000000,1.000000,1.000000
minimal,regex,E-Mail,regular,8,0,0,1.000000,1.000000,1.000000
minimal,regex,E-Mail,structured,9,0,0,1.000000,1.000000,1.000000
minimal,regex,E-Mail,unstructured,8,0,0,1.000000,1.000000,1.000000
minimal,regex,HR-Dokumente,regular,5,0,0,1.000000,1.000000,1.000000
minimal,regex,HR-Dokumente,structured,5,0,0,1.000000,1.000000,1.000000
minimal,regex,HR-Dokumente,unstructured,5,0,0,1.000000,1.000000,1.000000
minimal,regex,Supporttickets,regular,4,0,0,1.000000,1.000000,1.000000
minimal,regex,Supporttickets,structured,4,0,0,1.000000,1.000000,1.000000
minimal,regex,Supporttickets,unstructured,4,0,0,1.000000,1.000000,1.000000
minimal,regex,Verträge,regular,4,0,0,1.000000,1.000000,1.000000
minimal,regex,Verträge,structured,6,0,1,1.000000,0.857143,0.923077
minimal,regex,Verträge,unstructured,4,0,0,1.000000,1.000000,1.000000
