policy,mode,label,tp,fp,fn,precision,recall,f1
minimal,combined,E_MAIL,39,0,0,1.000000,1.000000,1.000000
minimal,combined,IBAN,2,0,0,1.000000,1.000000,1.000000
minimal,combined,IP_ADRESSE,2,0,0,1.000000,1.000000,1.000000
minimal,combined,PER,104,13,18,0.888889,0.852459,0.870293
minimal,combined,STRASSE,21,1,1,0.954545,0.954545,0.954545
minimal,combined,TELEFON,20,0,0,1.000000,1.000000,1.000000
minimal,ner,PER,104,15,18,0.873950,0.852459,0.863071
minimal,ner,STRASSE,2,16,20,0.111111,0.090909,0.100000
minimal,regex,E_MAIL,39,0,0,1.000000,1.000000,1.000000
minimal,regex,IBAN,2,0,0,1.000000,1.000000,1.000000
minimal,regex,IP_ADRESSE,2,0,0,1.000000,1.000000,1.000000
minimal,regex,STRASSE,21,0,1,1.000000,0.954545,0.976744
minimal,regex,TELEFON,20,0,0,1.000000,1.000000,1.000000
