policy,mode,domain,label,tp,fp,fn,precision,recall,f1
secure,combined,Chats,DATUM,14,0,0,1.000000,1.000000,1.000000
secure,combined,Chats,E_MAIL,8,0,0,1.000000,1.000000,1.000000
secure,combined,Chats,IP_ADRESSE,2,0,0,1.000000,1.000000,1.000000
secure,combined,Chats,LOC,7,5,0,0.583333,1.000000,0.736842
secure,combined,Chats,ORG,4,13,4,0.235294,0.500000,0.320000
secure,combined,Chats,PER,63,5,3,0.926471,0.954545,0.940299
secure,combined,Chats,PLZ,2,1,0,0.666667,1.000000,0.800000
secure,combined,Chats,STRASSE,6,0,0,1.000000,1.000000,1.000000
secure,combined,Chats,TELEFON,2,0,0,1.000000,1.000000,1.000000
secure,combined,Chats,URL,4,0,0,1.000000,1.000000,1.000000
secure,combined,E-Mail,DATUM,15,0,0,1.000000,1.000000,1.000000
secure,combined,E-Mail,E_MAIL,18,0,0,1.000000,1.000000,1.000000
secure,combined,E-Mail,IBAN,1,0,0,1.000000,1.000000,1.000000
secure,combined,E-Mail,LOC,1,2,0,0.333333,1.000000,0.500000
secure,combined,E-Mail,ORG,7,2,3,0.777778,0.700000,0.736842
secure,combined,E-Mail,PER,8,2,6,0.800000,0.571429,0.666667
secure,combined,E-Mail,TELEFON,6,0,0,1.000000,1.000000,1.000000
secure,combined,E-Mail,URL,2,0,0,1.000000,1.000000,1.000000
secure,combined,HR-Dokumente,DATUM,22,0,0,1.000000,1.000000,1.000000
secure,combined,HR-Dokumente,E_MAIL,7,0,0,1.000000,1.000000,1.000000
secure,combined,HR-Dokumente,LOC,8,2,5,0.800000,0.615385,0.695652
secure,combined,HR-Dokumente,ORG,16,6,3,0.727273,0.842105,0.780488
secure,combined,HR-Dokumente,PER,6,3,2,0.666667,0.750000,0.705882
secure,combined,HR-Dokumente,PLZ,5,0,0,1.000000,1.000000,1.000000
secure,combined,HR-Dokumente,STRASSE,2,0,0,1.000000,1.000000,1.000000
secure,combined,HR-Dokumente,TELEFON,6,0,0,1.000000,1.000000,1.000000
secure,combined,Supporttickets,DATUM,9,0,0,1.000000,1.000000,1.000000
