policy,mode,domain,structure,tp,fp,fn,precision,recall,f1
secure,combined,Chats,regular,42,8,3,0.840000,0.933333,0.884211
secure,combined,Chats,structured,27,8,2,0.771429,0.931034,0.843750
secure,combined,Chats,unstructured,43,8,2,0.843137,0.955556,0.895833
secure,combined,E-Mail,regular,16,1,2,0.941176,0.888889,0.914286
secure,combined,E-Mail,structured,20,2,3,0.909091,0.869565,0.888889
secure,combined,E-Mail,unstructured,22,3,4,0.880000,0.846154,0.862745
secure,combined,HR-Dokumente,regular,26,2,2,0.928571,0.928571,0.928571
secure,combined,HR-Dokumente,structured,26,4,5,0.866667,0.838710,0.852459
secure,combined,HR-Dokumente,unstructured,20,5,3,0.800000,0.869565,0.833333
secure,combined,Supporttickets,regular,10,4,3,0.714286,0.769231,0.740741
secure,combined,Supporttickets,structured,12,5,2,0.705882,0.857143,0.774194
secure,combined,Supporttickets,unstructured,14,4,2,0.777778,0.875000,0.823529
secure,combined,Verträge,regular,26,1,7,0.962963,0.787879,0.866667
secure,combined,Verträge,structured,27,8,9,0.771429,0.750000,0.760563
secure,combined,Verträge,unstructured,25,4,5,0.862069,0.833333,0.847458
secure,ner,Chats,regular,26,11,6,0.702703,0.812500,0.753623
secure,ner,Chats,structured,18,9,3,0.666667,0.857143,0.750000
secure,ner,Chats,unstructured,30,10,4,0.750000,0.882353,0.810811
secure,ner,E-Mail,regular,3,3,2,0.500000,0.600000,0.545455
secure,ner,E-Mail,structured,6,5,3,0.545455,0.666667,0.600000
secure,ner,E-Mail,unstructured,7,7,4,0.500000,0.636364,0.560000
secure,ner,HR-Dokumente,regular,13,3,2,0.812500,0.866667,0.838710
secure,ner,HR-Dokumente,structured,9,4,6,0.692308,0.600000,0.642857
secure,ner,HR-Dokumente,unstructured,9,7,3,0.562500,0.750000,0.642857
secure,ner,Supporttickets,regular,3,6,3,0.333333,0.500000,0.400000
secure,ner,Supporttickets,structured,3,6,2,0.333333,0.600000,0.428571
secure,ner,Supporttickets,unstructured,4,6,2,0.400000,0.666667,0.500000
secure,ner,Verträge,regular,15,4,10,0.789474,0.600000,0.681818
secure,ner,Verträge,structured,11,16,14,0.407407,0.440000,0.423077
secure,ner,Verträge,unstructured,13,8,9,0.619048,0.590909,0.604651
secure,regex,Chats,regular,16,1,0,0.941176,1.000000,0.969697
secure,regex,Chats,structured,9,0,0,1.000000,1.000000,1.000000
secure,regex,Chats,unstructured,13,0,0,1.000000,1.000000,1.000000
secure,regex,E-Mail,regular,13,0,0,1.000000,1.000000,1.000000
secure,regex,E-Mail,structured,14,0,0,1.000000,1.000000,1.000000
secure,regex,E-Mail,unstructured,15,0,0,1.000000,1.000000,1.000000
secure,regex,HR-Dokumente,regular,14,0,0,1.000000,1.000000,1.000000
secure,regex,HR-Dokumente,structured,17,0,0,1.000000,1.000000,1.000000
secure,regex,HR-Dokumente,unstructured,11,0,0,1.000000,1.000000,1.000000
secure,regex,Supporttickets,regular,7,0,0,1.000000,1.000000,1.000000
secure,regex,Supporttickets,structured,9,0,0,1.000000,1.000000,1.000000
secure,regex,Supporttickets,unstructured,10,0,0,1.000000,1.000000,1.000000
secure,regex,Verträge,regular,12,0,0,1.000000,1.000000,1.000000
secure,regex,Verträge,structured,16,0,1,1.000000,0.941176,0.969697
secure,regex,Verträge,unstructured,12,0,0,1.000000,1.000000,1.000000
