policy,mode,label,tp,fp,fn,precision,recall,f1
secure,combined,DATUM,72,0,0,1.000000,1.000000,1.000000
secure,combined,E_MAIL,39,0,0,1.000000,1.000000,1.000000
secure,combined,IBAN,2,0,0,1.000000,1.000000,1.000000
secure,combined,IP_ADRESSE,2,0,0,1.000000,1.000000,1.000000
secure,combined,LOC,33,16,13,0.673469,0.717391,0.694737
secure,combined,ORG,31,36,22,0.462687,0.584906,0.516667
secure,combined,PER,104,13,18,0.888889,0.852459,0.870293
secure,combined,PLZ,21,1,0,0.954545,1.000000,0.976744
secure,combined,STRASSE,21,1,1,0.954545,0.954545,0.954545
secure,combined,TELEFON,20,0,0,1.000000,1.000000,1.000000
secure,combined,URL,11,0,0,1.000000,1.000000,1.000000
secure,ner,LOC,33,23,13,0.589286,0.717391,0.647059
secure,ner,ORG,31,51,22,0.378049,0.584906,0.459259
secure,ner,PER,104,15,18,0.873950,0.852459,0.863071
secure,ner,STRASSE,2,16,20,0.111111,0.090909,0.100000
secure,regex,DATUM,72,0,0,1.000000,1.000000,1.000000
secure,regex,E_MAIL,39,0,0,1.000000,1.000000,1.000000
secure,regex,IBAN,2,0,0,1.000000,1.000000,1.000000
secure,regex,IP_ADRESSE,2,0,0,1.000000,1.000000,1.000000
secure,regex,PLZ,21,1,0,0.954545,1.000000,0.976744
secure,regex,STRASSE,21,0,1,1.000000,0.954545,0.976744
secure,regex,TELEFON,20,0,0,1.000000,1.000000,1.000000
secure,regex,URL,11,0,0,1.000000,1.000000,1.000000
