policy,mode,structure,label,tp,fp,fn,precision,recall,f1
secure,combined,regular,DATUM,23,0,0,1.000000,1.000000,1.000000
secure,combined,regular,E_MAIL,14,0,0,1.000000,1.000000,1.000000
secure,combined,regular,LOC,14,3,3,0.823529,0.823529,0.823529
secure,combined,regular,ORG,10,6,4,0.625000,0.714286,0.666667
secure,combined,regular,PER,34,6,10,0.850000,0.772727,0.809524
secure,combined,regular,PLZ,8,1,0,0.888889,1.000000,0.941176
secure,combined,regular,STRASSE,8,0,0,1.000000,1.000000,1.000000
secure,combined,regular,TELEFON,7,0,0,1.000000,1.000000,1.000000
secure,combined,regular,URL,2,0,0,1.000000,1.000000,1.000000
secure,combined,structured,DATUM,24,0,0,1.000000,1.000000,1.000000
secure,combined,structured,E_MAIL,12,0,0,1.000000,1.000000,1.000000
secure,combined,structured,IBAN,2,0,0,1.000000,1.000000,1.000000
secure,combined,structured,IP_ADRESSE,1,0,0,1.000000,1.000000,1.000000
secure,combined,structured,LOC,9,8,8,0.529412,0.529412,0.529412
secure,combined,structured,ORG,7,16,10,0.304348,0.411765,0.350000
secure,combined,structured,PER,31,2,2,0.939394,0.939394,0.939394
secure,combined,structured,PLZ,8,0,0,1.000000,1.000000,1.000000
secure,combined,structured,STRASSE,7,1,1,0.875000,0.875000,0.875000
secure,combined,structured,TELEFON,7,0,0,1.000000,1.000000,1.000000
secure,combined,structured,URL,4,0,0,1.000000,1.000000,1.000000
secure,combined,unstructured,DATUM,25,0,0,1.000000,1.000000,1.000000
secure,combined,unstructured,E_MAIL,13,0,0,1.000000,1.000000,1.000000
secure,combined,unstructured,IP_ADRESSE,1,0,0,1.000000,1.000000,1.000000
secure,combined,unstructured,LOC,10,5,2,0.666667,0.833333,0.740741
secure,combined,unstructured,ORG,14,14,8,0.500000,0.636364,0.560000
secure,combined,unstructured,PER,39,5,6,0.886364,0.866667,0.876404
secure,combined,unstructured,PLZ,5,0,0,1.000000,1.000000,1.000000
secure,combined,unstructured,STRASSE,6,0,0,1.000000,1.000000,1.000000
secure,combined,unstructured,TELEFON,6,0,0,1.000000,1.000000,1.000000
secure,combined,unstructured,URL,5,0,0,1.000000,1.000000,1.000000
secure,ner,regular,LOC,14,6,3,0.700000,0.823529,0.756757
secure,ner,regular,ORG,10,10,4,0.500000,0.714286,0.588235
secure,ner,regular,PER,34,6,10,0.850000,0.772727,0.809524
secure,ner,regular,STRASSE,2,5,6,0.285714,0.250000,0.266667
secure,ner,structured,LOC,9,11,8,0.450000,0.529412,0.486486
secure,ner,structured,ORG,7,20,10,0.259259,0.411765,0.318182
secure,ner,structured,PER,31,2,2,0.939394,0.939394,0.939394
secure,ner,structured,STRASSE,0,7,8,0.000000,0.000000,0.000000
secure,ner,unstructured,LOC,10,6,2,0.625000,0.833333,0.714286
secure,ner,unstructured,ORG,14,21,8,0.400000,0.636364,0.491228
secure,ner,unstructured,PER,39,7,6,0.847826,0.866667,0.857143
secure,ner,unstructured,STRASSE,0,4,6,0.000000,0.000000,0.000000
secure,regex,regular,DATUM,23,0,0,1.000000,1.000000,1.000000
secure,regex,regular,E_MAIL,14,0,0,1.000000,1.000000,1.000000
secure,regex,regular,PLZ,8,1,0,0.888889,1.000000,0.941176
secure,regex,regular,STRASSE,8,0,0,1.000000,1.000000,1.000000
secure,regex,regular,TELEFON,7,0,0,1.000000,1.000000,1.000000
secure,regex,regular,URL,2,0,0,1.000000,1.000000,1.000000
secure,regex,structured,DATUM,24,0,0,1.000000,1.000000,1.000000
secure,regex,structured,E_MAIL,12,0,0,1.000000,1.000000,1.000000
secure,regex,structured,IBAN,2,0,0,1.000000,1.000000,1.000000
secure,regex,structured,IP_ADRESSE,1,0,0,1.000000,1.000000,1.000000
secure,regex,structured,PLZ,8,0,0,1.000000,1.000000,1.000000
secure,regex,structured,STRASSE,7,0,1,1.000000,0.875000,0.933333
secure,regex,structured,TELEFON,7,0,0,1.000000,1.000000,1.000000
secure,regex,structured,URL,4,0,0,1.000000,1.000000,1.000000
secure,regex,unstructured,DATUM,25,0,0,1.000000,1.000000,1.000000
secure,regex,unstructured,E_MAIL,13,0,0,1.000000,1.000000,1.000000
secure,regex,unstructured,IP_ADRESSE,1,0,0,1.000000,1.000000,1.000000
secure,regex,unstructured,PLZ,5,0,0,1.000000,1.000000,1.000000
secure,regex,unstructured,STRASSE,6,0,0,1.000000,1.000000,1.000000
secure,regex,unstructured,TELEFON,6,0,0,1.000000,1.000000,1.000000
secure,regex,unstructured,URL,5,0,0,1.000000,1.000000,1.000000
