policy,mode,domain,structure,tp,fp,fn,precision,recall,f1
minimal,combined,Chats,regular,29,0,1,1.000000,0.966667,0.983051
minimal,combined,Chats,structured,22,0,1,1.000000,0.956522,0.977778
minimal,combined,Chats,unstructured,30,0,1,1.000000,0.967742,0.983607
minimal,combined,E-Mail,regular,9,0,2,1.000000,0.818182,0.900000
minimal,combined,E-Mail,structured,13,0,1,1.000000,0.928571,0.962963
minimal,combined,E-Mail,unstructured,11,0,3,1.000000,0.785714,0.880000
minimal,combined,HR-Dokumente,regular,8,0,0,1.000000,1.000000,1.000000
minimal,combined,HR-Dokumente,structured,7,0,0,1.000000,1.000000,1.000000
minimal,combined,HR-Dokumente,unstructured,7,0,1,1.000000,0.875000,0.933333
minimal,combined,Supporttickets,regular,7,0,1,1.000000,0.875000,0.933333
minimal,combined,Supporttickets,structured,6,0,0,1.000000,1.000000,1.000000
minimal,combined,Supporttickets,unstructured,8,0,0,1.000000,1.000000,1.000000
minimal,combined,Verträge,regular,10,0,6,1.000000,0.625000,0.769231
minimal,combined,Verträge,structured,12,0,1,1.000000,0.923077,0.960000
minimal,combined,Verträge,unstructured,9,0,1,1.000000,0.900000,0.947368
minimal,ner,Chats,regular,21,0,4,1.000000,0.840000,0.913043
minimal,ner,Chats,structured,17,0,2,1.000000,0.894737,0.944444
minimal,ner,Chats,unstructured,25,1,3,0.961538,0.892857,0.925926
minimal,ner,E-Mail,regular,1,0,2,1.000000,0.333333,0.500000
minimal,ner,E-Mail,structured,4,0,1,1.000000,0.800000,0.888889
minimal,ner,E-Mail,unstructured,3,0,3,1.000000,0.500000,0.666667
minimal,ner,HR-Dokumente,regular,3,0,1,1.000000,0.750000,0.857143
minimal,ner,HR-Dokumente,structured,2,0,1,1.000000,0.666667,0.800000
minimal,ner,HR-Dokumente,unstructured,2,0,1,1.000000,0.666667,0.800000
minimal,ner,Supporttickets,regular,3,0,1,1.000000,0.750000,0.857143
minimal,ner,Supporttickets,structured,2,0,0,1.000000,1.000000,1.000000
minimal,ner,Supporttickets,unstructured,4,0,0,1.000000,1.000000,1.000000
minimal,ner,Verträge,regular,6,0,10,1.000000,0.375000,0.545455
minimal,ner,Verträge,structured,6,0,6,1.000000,0.500000,0.666667
minimal,ner,Verträge,unstructured,5,1,5,0.833333,0.500000,0.625000
minimal,regex,Chats,regular,8,0,0,1.000000,1.000000,1.000000
minimal,regex,Chats,structured,5,0,0,1.000000,1.000000,1.000000
minimal,regex,Chats,unstructured,5,0,0,1.000000,1.000000,1.000000
minimal,regex,E-Mail,regular,8,0,0,1.000000,1.000000,1.000000
minimal,regex,E-Mail,structured,9,0,0,1.000000,1.000000,1.000000
minimal,regex,E-Mail,unstructured,8,0,0,1.000000,1.000000,1.000000
minimal,regex,HR-Dokumente,regular,5,0,0,1.000000,1.000000,1.000000
minimal,regex,HR-Dokumente,structured,5,0,0,1.000000,1.000000,1.000000
minimal,regex,HR-Dokumente,unstructured,5,0,0,1.000000,1.000000,1.000000
minimal,regex,Supporttickets,regular,4,0,0,1.000000,1.000000,1.000000
minimal,regex,Supporttickets,structured,4,0,0,1.000000,1.000000,1.000000
minimal,regex,Supporttickets,unstructured,4,0,0,1.000000,1.000000,1.000000
minimal,regex,Verträge,regular,4,0,0,1.000000,1.000000,1.000000
minimal,regex,Verträge,structured,6,0,1,1.000000,0.857143,0.923077
minimal,regex,Verträge,unstructured,4,0,0,1.000000,1.000000,1.000000
