policy,mode,label,tp,fp,fn,precision,recall,f1
minimal,combined,E_MAIL,39,0,0,1.000000,1.000000,1.000000
minimal,combined,IBAN,2,0,0,1.000000,1.000000,1.000000
minimal,combined,IP_ADRESSE,2,0,0,1.000000,1.000000,1.000000
minimal,combined,PER,104,0,18,1.000000,0.852459,0.920354
minimal,combined,STRASSE,21,0,1,1.000000,0.954545,0.976744
minimal,combined,TELEFON,20,0,0,1.000000,1.000000,1.000000
minimal,ner,PER,104,2,18,0.981132,0.852459,0.912281
minimal,ner,STRASSE,0,0,22,0.000000,0.000000,0.000000
minimal,regex,E_MAIL,39,0,0,1.000000,1.000000,1.000000
minimal,regex,IBAN,2,0,0,1.000000,1.000000,1.000000
minimal,regex,IP_ADRESSE,2,0,0,1.000000,1.000000,1.000000
minimal,regex,STRASSE,21,0,1,1.000000,0.954545,0.976744
minimal,regex,TELEFON,20,0,0,1.000000,1.000000,1.000000
