policy,structure,label,tp,fp,fn,precision,recall,f1
minimal,regular,E_MAIL,14,0,0,1.000000,1.000000,1.000000
minimal,regular,PER,36,0,8,1.000000,0.818182,0.900000
minimal,regular,STRASSE,8,0,0,1.000000,1.000000,1.000000
minimal,regular,TELEFON,7,0,0,1.000000,1.000000,1.000000
minimal,structured,E_MAIL,12,0,0,1.000000,1.000000,1.000000
minimal,structured,IBAN,2,0,0,1.000000,1.000000,1.000000
minimal,structured,IP_ADRESSE,1,0,0,1.000000,1.000000,1.000000
minimal,structured,PER,31,0,2,1.000000,0.939394,0.968750
minimal,structured,STRASSE,7,0,1,1.000000,0.875000,0.933333
minimal,structured,TELEFON,7,0,0,1.000000,1.000000,1.000000
minimal,unstructured,E_MAIL,13,0,0,1.000000,1.000000,1.000000
minimal,unstructured,IP_ADRESSE,1,0,0,1.000000,1.000000,1.000000
minimal,unstructured,PER,40,0,5,1.000000,0.888889,0.941176
minimal,unstructured,STRASSE,6,0,0,1.000000,1.000000,1.000000
minimal,unstructured,TELEFON,6,0,0,1.000000,1.000000,1.000000
