dataset,dataset_index,domain,structure,variant,policy,mode,tp,fp,fn,precision,recall,f1
Dataset_01,1,Supporttickets,structured,1,secure,regex,4,0,0,1.000000,1.000000,1.000000
Dataset_01,1,Supporttickets,structured,1,secure,ner,2,0,0,1.000000,1.000000,1.000000
Dataset_01,1,Supporttickets,structured,1,secure,combined,6,0,0,1.000000,1.000000,1.000000
Dataset_02,2,Supporttickets,structured,2,secure,regex,5,0,0,1.000000,1.000000,1.000000
Dataset_02,2,Supporttickets,structured,2,secure,ner,2,0,1,1.000000,0.666667,0.800000
Dataset_02,2,Supporttickets,structured,2,secure,combined,7,0,1,1.000000,0.875000,0.933333
Dataset_03,3,Supporttickets,regular,1,secure,regex,4,0,0,1.000000,1.000000,1.000000
Dataset_03,3,Supporttickets,regular,1,secure,ner,1,0,2,1.000000,0.333333,0.500000
Dataset_03,3,Supporttickets,regular,1,secure,combined,5,0,2,1.000000,0.714286,0.833333
Dataset_04,4,Supporttickets,regular,2,secure,regex,3,0,0,1.000000,1.000000,1.000000
Dataset_04,4,Supporttickets,regular,2,secure,ner,3,0,0,1.000000,1.000000,1.000000
Dataset_04,4,Supporttickets,regular,2,secure,combined,6,0,0,1.000000,1.000000,1.000000
Dataset_05,5,Supporttickets,unstructured,1,secure,regex,5,0,0,1.000000,1.000000,1.000000
Dataset_05,5,Supporttickets,unstructured,1,secure,ner,3,0,0,1.000000,1.000000,1.000000
Dataset_05,5,Supporttickets,unstructured,1,secure,combined,8,0,0,1.000000,1.000000,1.000000
Dataset_06,6,Supporttickets,unstructured,2,secure,regex,5,0,0,1.000000,1.000000,1.000000
Dataset_06,6,Supporttickets,unstructured,2,secure,ner,3,0,0,1.000000,1.000000,1.000000
Dataset_06,6,Supporttickets,unstructured,2,secure,combined,8,0,0,1.000000,1.000000,1.000000
Dataset_07,7,E-Mail,structured,1,secure,regex,8,0,0,1.000000,1.000000,1.000000
Dataset_07,7,E-Mail,structured,1,secure,ner,4,1,1,0.800000,0.800000,0.800000
Dataset_07,7,E-Mail,structured,1,secure,combined,12,0,1,1.000000,0.923077,0.960000
Dataset_08,8,E-Mail,structured,2,secure,regex,6,0,0,1.000000,1.000000,1.000000
Dataset_08,8,E-Mail,structured,2,secure,ner,4,1,0,0.800000,1.000000,0.888889
Dataset_08,8,E-Mail,structured,2,secure,combined,10,0,0,1.000000,1.000000,1.000000
Dataset_09,9,E-Mail,regular,1,secure,regex,6,0,0,1.000000,1.000000,1.000000
Dataset_09,9,E-Mail,regular,1,secure,ner,1,0,1,1.000000,0.500000,0.666667
Dataset_09,9,E-Mail,regular,1,secure,combined,7,0,1,1.000000,0.875000,0.933333
Dataset_10,10,E-Mail,regular,2,secure,regex,7,0,0,1.000000,1.000000,1.000000
Dataset_10,10,E-Mail,regular,2,secure,ner,2,0,1,1.000000,0.666667,0.800000
Dataset_10,10,E-Mail,regular,2,secure,combined,9,0,1,1.000000,0.900000,0.947368
Dataset_11,11,E-Mail,unstructured,1,secure,regex,7,0,0,1.000000,1.000000,1.000000
Dataset_11,11,E-Mail,unstructured,1,secure,ner,3,0,4,1.000000,0.428571,0.600000
Dataset_11,11,E-Mail,unstructured,1,secure,combined,10,0,4,1.000000,0.714286,0.833333
Dataset_12,12,E-Mail,unstructured,2,secure,regex,8,0,0,1.000000,1.000000,1.000000
Dataset_12,12,E-Mail,unstructured,2,secure,ner,3,1,1,0.750000,0.750000,0.750000
Dataset_12,12,E-Mail,unstructured,2,secure,combined,11,0,1,1.000000,0.916667,0.956522
Dataset_13,13,HR-Dokumente,structured,1,secure,regex,9,0,0,1.000000,1.000000,1.000000
Dataset_13,13,HR-Dokumente,structured,1,secure,ner,5,1,2,0.833333,0.714286,0.769231
Dataset_13,13,HR-Dokumente,structured,1,secure,combined,14,1,2,0.933333,0.875000,0.903226
Dataset_14,14,HR-Dokumente,structured,2,secure,regex,8,0,0,1.000000,1.000000,1.000000
Dataset_14,14,HR-Dokumente,structured,2,secure,ner,4,1,4,0.800000,0.500000,0.615385
Dataset_14,14,HR-Dokumente,structured,2,secure,combined,12,1,3,0.923077,0.800000,0.857143
Dataset_15,15,HR-Dokumente,regular,1,secure,regex,8,0,0,1.000000,1.000000,1.000000
Dataset_15,15,HR-Dokumente,regular,1,secure,ner,7,1,2,0.875000,0.777778,0.823529
Dataset_15,15,HR-Dokumente,regular,1,secure,combined,15,1,1,0.937500,0.937500,0.937500
Dataset_16,16,HR-Dokumente,regular,2,secure,regex,6,0,0,1.000000,1.000000,1.000000
Dataset_16,16,HR-Dokumente,regular,2,secure,ner,6,0,0,1.000000,1.000000,1.000000
Dataset_16,16,HR-Dokumente,regular,2,secure,combined,12,0,0,1.000000,1.000000,1.000000
Dataset_17,17,HR-Dokumente,unstructured,1,secure,regex,4,0,0,1.000000,1.000000,1.000000
Dataset_17,17,HR-Dokumente,unstructured,1,secure,ner,4,0,2,1.000000,0.666667,0.800000
Dataset_17,17,HR-Dokumente,unstructured,1,secure,combined,8,0,2,1.000000,0.800000,0.888889
Dataset_18,18,HR-Dokumente,unstructured,2,secure,regex,7,0,0,1.000000,1.000000,1.000000
Dataset_18,18,HR-Dokumente,unstructured,2,secure,ner,6,1,0,0.857143,1.000000,0.923077
Dataset_18,18,HR-Dokumente,unstructured,2,secure,combined,13,1,0,0.928571,1.000000,0.962963
Dataset_19,19,Verträge,structured,1,secure,regex,9,0,0,1.000000,1.000000,1.000000
Dataset_19,19,Verträge,structured,1,secure,ner,7,3,4,0.700000,0.636364,0.666667
Dataset_19,19,Verträge,structured,1,secure,combined,16,2,1,0.888889,0.941176,0.914286
Dataset_20,20,Verträge,structured,2,secure,regex,7,0,1,1.000000,0.875000,0.933333
Dataset_20,20,Verträge,structured,2,secure,ner,4,1,10,0.800000,0.285714,0.421053
Dataset_20,20,Verträge,structured,2,secure,combined,11,1,8,0.916667,0.578947,0.709677
Dataset_21,21,Verträge,regular,1,secure,regex,6,0,0,1.000000,1.000000,1.000000
Dataset_21,21,Verträge,regular,1,secure,ner,7,1,6,0.875000,0.538462,0.666667
Dataset_21,21,Verträge,regular,1,secure,combined,13,1,4,0.928571,0.764706,0.838710
Dataset_22,22,Verträge,regular,2,secure,regex,6,0,0,1.000000,1.000000,1.000000
Dataset_22,22,Verträge,regular,2,secure,ner,6,0,6,1.000000,0.500000,0.666667
Dataset_22,22,Verträge,regular,2,secure,combined,12,0,4,1.000000,0.750000,0.857143
Dataset_23,23,Verträge,unstructured,1,secure,regex,6,0,0,1.000000,1.000000,1.000000
Dataset_23,23,Verträge,unstructured,1,secure,ner,7,1,3,0.875000,0.700000,0.777778
Dataset_23,23,Verträge,unstructured,1,secure,combined,13,0,1,1.000000,0.928571,0.962963
Dataset_24,24,Verträge,unstructured,2,secure,regex,6,0,0,1.000000,1.000000,1.000000
Dataset_24,24,Verträge,unstructured,2,secure,ner,8,0,4,1.000000,0.666667,0.800000
Dataset_24,24,Verträge,unstructured,2,secure,combined,14,0,2,1.000000,0.875000,0.933333
Dataset_25,25,Chats,structured,1,secure,regex,6,0,0,1.000000,1.000000,1.000000
Dataset_25,25,Chats,structured,1,secure,ner,8,3,2,0.727273,0.800000,0.761905
Dataset_25,25,Chats,structured,1,secure,combined,14,3,1,0.823529,0.933333,0.875000
Dataset_26,26,Chats,structured,2,secure,regex,3,0,0,1.000000,1.000000,1.000000
Dataset_26,26,Chats,structured,2,secure,ner,11,2,0,0.846154,1.000000,0.916667
Dataset_26,26,Chats,structured,2,secure,combined,14,2,0,0.875000,1.000000,0.933333
Dataset_27,27,Chats,regular,1,secure,regex,7,0,0,1.000000,1.000000,1.000000
Dataset_27,27,Chats,regular,1,secure,ner,13,1,2,0.928571,0.866667,0.896552
Dataset_27,27,Chats,regular,1,secure,combined,20,1,1,0.952381,0.952381,0.952381
Dataset_28,28,Chats,regular,2,secure,regex,9,1,0,0.900000,1.000000,0.947368
Dataset_28,28,Chats,regular,2,secure,ner,15,1,2,0.937500,0.882353,0.909091
Dataset_28,28,Chats,regular,2,secure,combined,24,2,0,0.923077,1.000000,0.960000
Dataset_29,29,Chats,unstructured,1,secure,regex,7,0,0,1.000000,1.000000,1.000000
Dataset_29,29,Chats,unstructured,1,secure,ner,16,1,1,0.941176,0.941176,0.941176
Dataset_29,29,Chats,unstructured,1,secure,combined,23,0,0,1.000000,1.000000,1.000000
Dataset_30,30,Chats,unstructured,2,secure,regex,6,0,0,1.000000,1.000000,1.000000
Dataset_30,30,Chats,unstructured,2,secure,ner,15,0,2,1.000000,0.882353,0.937500
Dataset_30,30,Chats,unstructured,2,secure,combined,21,0,1,1.000000,0.954545,0.976744
