policy,mode,domain,label,tp,fp,fn,precision,recall,f1
secure,combined,Chats,DATUM,14,0,0,1.000000,1.000000,1.000000
secure,combined,Chats,E_MAIL,8,0,0,1.000000,1.000000,1.000000
secure,combined,Chats,IP_ADRESSE,2,0,0,1.000000,1.000000,1.000000
secure,combined,Chats,LOC,7,1,0,0.875000,1.000000,0.933333
secure,combined,Chats,ORG,8,6,0,0.571429,1.000000,0.727273
secure,combined,Chats,PER,63,0,3,1.000000,0.954545,0.976744
secure,combined,Chats,PLZ,2,1,0,0.666667,1.000000,0.800000
secure,combined,Chats,STRASSE,6,0,0,1.000000,1.000000,1.000000
secure,combined,Chats,TELEFON,2,0,0,1.000000,1.000000,1.000000
secure,combined,Chats,URL,4,0,0,1.000000,1.000000,1.000000
secure,combined,E-Mail,DATUM,15,0,0,1.000000,1.000000,1.000000
secure,combined,E-Mail,E_MAIL,18,0,0,1.000000,1.000000,1.000000
secure,combined,E-Mail,IBAN,1,0,0,1.000000,1.000000,1.000000
secure,combined,E-Mail,LOC,1,0,0,1.000000,1.000000,1.000000
secure,combined,E-Mail,ORG,8,0,2,1.000000,0.800000,0.888889
secure,combined,E-Mail,PER,8,0,6,1.000000,0.571429,0.727273
secure,combined,E-Mail,TELEFON,6,0,0,1.000000,1.000000,1.000000
secure,combined,E-Mail,URL,2,0,0,1.000000,1.000000,1.000000
secure,combined,HR-Dokumente,DATUM,22,0,0,1.000000,1.000000,1.000000
secure,combined,HR-Dokumente,E_MAIL,7,0,0,1.000000,1.000000,1.000000
secure,combined,HR-Dokumente,LOC,9,2,4,0.818182,0.692308,0.750000
secure,combined,HR-Dokumente,ORG,16,2,3,0.888889,0.842105,0.864865
secure,combined,HR-Dokumente,PER,7,0,1,1.000000,0.875000,0.933333
secure,combined,HR-Dokumente,PLZ,5,0,0,1.000000,1.000000,1.000000
secure,combined,HR-Dokumente,STRASSE,2,0,0,1.000000,1.000000,1.000000
secure,combined,HR-Dokumente,TELEFON,6,0,0,1.000000,1.000000,1.000000
secure,combined,Supporttickets,DATUM,9,0,0,1.000000,1.000000,1.000000
