policy,mode,structure,label,tp,fp,fn,precision,recall,f1
secure,combined,regular,DATUM,23,0,0,1.000000,1.000000,1.000000
secure,combined,regular,E_MAIL,14,0,0,1.000000,1.000000,1.000000
secure,combined,regular,LOC,15,2,2,0.882353,0.882353,0.882353
secure,combined,regular,ORG,12,2,2,0.857143,0.857143,0.857143
secure,combined,regular,PER,35,0,9,1.000000,0.795455,0.886076
secure,combined,regular,PLZ,8,1,0,0.888889,1.000000,0.941176
secure,combined,regular,STRASSE,8,0,0,1.000000,1.000000,1.000000
secure,combined,regular,TELEFON,7,0,0,1.000000,1.000000,1.000000
secure,combined,regular,URL,2,0,0,1.000000,1.000000,1.000000
secure,combined,structured,DATUM,24,0,0,1.000000,1.000000,1.000000
secure,combined,structured,E_MAIL,12,0,0,1.000000,1.000000,1.000000
secure,combined,structured,IBAN,2,0,0,1.000000,1.000000,1.000000
secure,combined,structured,IP_ADRESSE,1,0,0,1.000000,1.000000,1.000000
secure,combined,structured,LOC,9,2,8,0.818182,0.529412,0.642857
secure,combined,structured,ORG,11,8,6,0.578947,0.647059,0.611111
secure,combined,structured,PER,31,0,2,1.000000,0.939394,0.968750
secure,combined,structured,PLZ,8,0,0,1.000000,1.000000,1.000000
secure,combined,structured,STRASSE,7,0,1,1.000000,0.875000,0.933333
secure,combined,structured,TELEFON,7,0,0,1.000000,1.000000,1.000000
secure,combined,structured,URL,4,0,0,1.000000,1.000000,1.000000
secure,combined,unstructured,DATUM,25,0,0,1.000000,1.000000,1.000000
secure,combined,unstructured,E_MAIL,13,0,0,1.000000,1.000000,1.000000
secure,combined,unstructured,IP_ADRESSE,1,0,0,1.000000,1.000000,1.000000
secure,combined,unstructured,LOC,10,0,2,1.000000,0.833333,0.909091
secure,combined,unstructured,ORG,19,1,3,0.950000,0.863636,0.904762
secure,combined,unstructured,PER,39,0,6,1.000000,0.866667,0.928571
secure,combined,unstructured,PLZ,5,0,0,1.000000,1.000000,1.000000
secure,combined,unstructured,STRASSE,6,0,0,1.000000,1.000000,1.000000
secure,combined,unstructured,TELEFON,6,0,0,1.000000,1.000000,1.000000
secure,combined,unstructured,URL,5,0,0,1.000000,1.000000,1.000000
secure,ner,regular,LOC,15,2,2,0.882353,0.882353,0.882353
secure,ner,regular,ORG,12,2,2,0.857143,0.857143,0.857143
secure,ner,regular,PER,35,0,9,1.000000,0.795455,0.886076
secure,ner,regular,STRASSE,0,0,8,0.000000,0.000000,0.000000
secure,ner,structured,LOC,9,3,8,0.750000,0.529412,0.620690
secure,ner,structured,ORG,11,10,6,0.523810,0.647059,0.578947
secure,ner,structured,PER,31,0,2,1.000000,0.939394,0.968750
secure,ner,structured,STRASSE,0,0,8,0.000000,0.000000,0.000000
secure,ner,unstructured,LOC,10,0,2,1.000000,0.833333,0.909091
secure,ner,unstructured,ORG,19,2,3,0.904762,0.863636,0.883721
secure,ner,unstructured,PER,39,2,6,0.951220,0.866667,0.906977
secure,ner,unstructured,STRASSE,0,0,6,0.000000,0.000000,0.000000
secure,regex,regular,DATUM,23,0,0,1.000000,1.000000,1.000000
secure,regex,regular,E_MAIL,14,0,0,1.000000,1.000000,1.000000
secure,regex,regular,PLZ,8,1,0,0.888889,1.000000,0.941176
secure,regex,regular,STRASSE,8,0,0,1.000000,1.000000,1.000000
secure,regex,regular,TELEFON,7,0,0,1.000000,1.000000,1.000000
secure,regex,regular,URL,2,0,0,1.000000,1.000000,1.000000
secure,regex,structured,DATUM,24,0,0,1.000000,1.000000,1.000000
secure,regex,structured,E_MAIL,12,0,0,1.000000,1.000000,1.000000
secure,regex,structured,IBAN,2,0,0,1.000000,1.000000,1.000000
secure,regex,structured,IP_ADRESSE,1,0,0,1.000000,1.000000,1.000000
secure,regex,structured,PLZ,8,0,0,1.000000,1.000000,1.000000
secure,regex,structured,STRASSE,7,0,1,1.000000,0.875000,0.933333
secure,regex,structured,TELEFON,7,0,0,1.000000,1.000000,1.000000
secure,regex,structured,URL,4,0,0,1.000000,1.000000,1.000000
secure,regex,unstructured,DATUM,25,0,0,1.000000,1.000000,1.000000
secure,regex,unstructured,E_MAIL,13,0,0,1.000000,1.000000,1.000000
secure,regex,unstructured,IP_ADRESSE,1,0,0,1.000000,1.000000,1.000000
secure,regex,unstructured,PLZ,5,0,0,1.000000,1.000000,1.000000
secure,regex,unstructured,STRASSE,6,0,0,1.000000,1.000000,1.000000
secure,regex,unstructured,TELEFON,6,0,0,1.000000,1.000000,1.000000
secure,regex,unstructured,URL,5,0,0,1.000000,1.000000,1.000000
