policy,mode,domain,tp,fp,fn,precision,recall,f1
secure,combined,Chats,111,19,8,0.853846,0.932773,0.891566
secure,combined,E-Mail,59,5,7,0.921875,0.893939,0.907692
secure,combined,HR-Dokumente,74,8,8,0.902439,0.902439,0.902439
secure,combined,Supporttickets,40,1,3,0.975610,0.930233,0.952381
secure,combined,Verträge,74,18,22,0.804348,0.770833,0.787234
secure,ner,Chats,78,18,9,0.812500,0.896552,0.852459
secure,ner,E-Mail,17,6,7,0.739130,0.708333,0.723404
secure,ner,HR-Dokumente,33,8,9,0.804878,0.785714,0.795181
secure,ner,Supporttickets,14,1,3,0.933333,0.823529,0.875000
secure,ner,Verträge,46,20,23,0.696970,0.666667,0.681481
secure,regex,Chats,37,2,1,0.948718,0.973684,0.961039
secure,regex,E-Mail,42,0,0,1.000000,1.000000,1.000000
secure,regex,HR-Dokumente,42,0,0,1.000000,1.000000,1.000000
secure,regex,Supporttickets,26,0,0,1.000000,1.000000,1.000000
secure,regex,Verträge,40,0,1,1.000000,0.975610,0.987654
