policy,mode,domain,label,tp,fp,fn,precision,recall,f1
secure,combined,Chats,DATUM,13,1,1,0.928571,0.928571,0.928571
secure,combined,Chats,E_MAIL,8,0,0,1.000000,1.000000,1.000000
secure,combined,Chats,IP_ADRESSE,2,0,0,1.000000,1.000000,1.000000
secure,combined,Chats,LOC,6,3,1,0.666667,0.857143,0.750000
secure,combined,Chats,ORG,5,10,2,0.333333,0.714286,0.454545
secure,combined,Chats,PER,63,4,4,0.940299,0.940299,0.940299
secure,combined,Chats,PLZ,2,1,0,0.666667,1.000000,0.800000
secure,combined,Chats,STRASSE,6,0,0,1.000000,1.000000,1.000000
secure,combined,Chats,TELEFON,2,0,0,1.000000,1.000000,1.000000
secure,combined,Chats,URL,4,0,0,1.000000,1.000000,1.000000
secure,combined,E-Mail,DATUM,15,0,0,1.000000,1.000000,1.000000
secure,combined,E-Mail,E_MAIL,18,0,0,1.000000,1.000000,1.000000
secure,combined,E-Mail,IBAN,1,0,0,1.000000,1.000000,1.000000
secure,combined,E-Mail,LOC,0,3,0,0.000000,0.000000,0.000000
secure,combined,E-Mail,ORG,9,0,1,1.000000,0.900000,0.947368
secure,combined,E-Mail,PER,8,2,6,0.800000,0.571429,0.666667
secure,combined,E-Mail,TELEFON,6,0,0,1.000000,1.000000,1.000000
secure,combined,E-Mail,URL,2,0,0,1.000000,1.000000,1.000000
secure,combined,HR-Dokumente,DATUM,22,0,0,1.000000,1.000000,1.000000
secure,combined,HR-Dokumente,E_MAIL,7,0,0,1.000000,1.000000,1.000000
secure,combined,HR-Dokumente,LOC,9,2,4,0.818182,0.692308,0.750000
secure,combined,HR-Dokumente,ORG,16,5,3,0.761905,0.842105,0.800000
secure,combined,HR-Dokumente,PER,7,1,1,0.875000,0.875000,0.875000
secure,combined,HR-Dokumente,PLZ,5,0,0,1.000000,1.000000,1.000000
secure,combined,HR-Dokumente,STRASSE,2,0,0,1.000000,1.000000,1.000000
secure,combined,HR-Dokumente,TELEFON,6,0,0,1.000000,1.000000,1.000000
secure,combined,Supporttickets,DATUM,9,0,0,1.000000,1.000000,1.000000
secure,combined,Supporttickets,E_MAIL,6,0,0,1.000000,1.000000,1.000000
secure,combined,Supporttickets,ORG,5,1,2,0.833333,0.714286,0.769231
secure,combined,Supporttickets,PER,9,0,1,1.000000,0.900000,0.947368
secure,combined,Supporttickets,TELEFON,6,0,0,1.000000,1.000000,1.000000
secure,combined,Supporttickets,URL,5,0,0,1.000000,1.000000,1.000000
secure,combined,Verträge,DATUM,12,0,0,1.000000,1.000000,1.000000
secure,combined,Verträge,IBAN,1,0,0,1.000000,1.000000,1.000000
secure,combined,Verträge,LOC,15,6,8,0.714286,0.652174,0.681818
secure,combined,Verträge,ORG,2,9,6,0.181818,0.250000,0.210526
secure,combined,Verträge,PER,16,3,8,0.842105,0.666667,0.744186
secure,combined,Verträge,PLZ,14,0,0,1.000000,1.000000,1.000000
secure,combined,Verträge,STRASSE,14,0,0,1.000000,1.000000,1.000000
secure,ner,Chats,LOC,6,3,1,0.666667,0.857143,0.750000
secure,ner,Chats,ORG,5,10,2,0.333333,0.714286,0.454545
secure,ner,Chats,PER,63,5,4,0.926471,0.940299,0.933333
secure,ner,Chats,STRASSE,4,0,2,1.000000,0.666667,0.800000
secure,ner,E-Mail,LOC,0,3,0,0.000000,0.000000,0.000000
secure,ner,E-Mail,ORG,9,1,1,0.900000,0.900000,0.900000
secure,ner,E-Mail,PER,8,2,6,0.800000,0.571429,0.666667
secure,ner,HR-Dokumente,LOC,9,2,4,0.818182,0.692308,0.750000
secure,ner,HR-Dokumente,ORG,16,5,3,0.761905,0.842105,0.800000
secure,ner,HR-Dokumente,PER,7,1,1,0.875000,0.875000,0.875000
secure,ner,HR-Dokumente,STRASSE,1,0,1,1.000000,0.500000,0.666667
secure,ner,Supporttickets,ORG,5,1,2,0.833333,0.714286,0.769231
secure,ner,Supporttickets,PER,9,0,1,1.000000,0.900000,0.947368
secure,ner,Verträge,LOC,15,7,8,0.681818,0.652174,0.666667
secure,ner,Verträge,ORG,2,9,6,0.181818,0.250000,0.210526
secure,ner,Verträge,PER,16,4,8,0.800000,0.666667,0.727273
secure,ner,Verträge,STRASSE,13,0,1,1.000000,0.928571,0.962963
secure,regex,Chats,DATUM,13,1,1,0.928571,0.928571,0.928571
secure,regex,Chats,E_MAIL,8,0,0,1.000000,1.000000,1.000000
secure,regex,Chats,IP_ADRESSE,2,0,0,1.000000,1.000000,1.000000
secure,regex,Chats,PLZ,2,1,0,0.666667,1.000000,0.800000
secure,regex,Chats,STRASSE,6,0,0,1.000000,1.000000,1.000000
secure,regex,Chats,TELEFON,2,0,0,1.000000,1.000000,1.000000
