policy,mode,domain,structure,tp,fp,fn,precision,recall,f1
secure,combined,Chats,regular,33,5,0,0.868421,1.000000,0.929577
secure,combined,Chats,structured,29,5,0,0.852941,1.000000,0.920635
secure,combined,Chats,unstructured,41,5,1,0.891304,0.976190,0.931818
secure,combined,E-Mail,regular,16,1,2,0.941176,0.888889,0.914286
secure,combined,E-Mail,structured,21,1,1,0.954545,0.954545,0.954545
secure,combined,E-Mail,unstructured,22,3,4,0.880000,0.846154,0.862745
secure,combined,HR-Dokumente,regular,26,2,2,0.928571,0.928571,0.928571
secure,combined,HR-Dokumente,structured,26,4,5,0.866667,0.838710,0.852459
secure,combined,HR-Dokumente,unstructured,21,3,2,0.875000,0.913043,0.893617
secure,combined,Supporttickets,regular,11,0,2,1.000000,0.846154,0.916667
secure,combined,Supporttickets,structured,13,0,1,1.000000,0.928571,0.962963
secure,combined,Supporttickets,unstructured,16,1,0,0.941176,1.000000,0.969697
secure,combined,Verträge,regular,23,2,6,0.920000,0.793103,0.851852
secure,combined,Verträge,structured,27,8,9,0.771429,0.750000,0.760563
secure,combined,Verträge,unstructured,23,4,2,0.851852,0.920000,0.884615
secure,ner,Chats,regular,23,4,1,0.851852,0.958333,0.901961
secure,ner,Chats,structured,21,5,0,0.807692,1.000000,0.893617
secure,ner,Chats,unstructured,29,6,2,0.828571,0.935484,0.878788
secure,ner,E-Mail,regular,3,1,2,0.750000,0.600000,0.666667
secure,ner,E-Mail,structured,7,2,1,0.777778,0.875000,0.823529
secure,ner,E-Mail,unstructured,7,3,4,0.700000,0.636364,0.666667
secure,ner,HR-Dokumente,regular,13,2,2,0.866667,0.866667,0.866667
secure,ner,HR-Dokumente,structured,9,4,6,0.692308,0.600000,0.642857
secure,ner,HR-Dokumente,unstructured,10,3,2,0.769231,0.833333,0.800000
secure,ner,Supporttickets,regular,4,0,2,1.000000,0.666667,0.800000
secure,ner,Supporttickets,structured,4,0,1,1.000000,0.800000,0.888889
secure,ner,Supporttickets,unstructured,6,1,0,0.857143,1.000000,0.923077
secure,ner,Verträge,regular,15,2,6,0.882353,0.714286,0.789474
secure,ner,Verträge,structured,16,9,9,0.640000,0.640000,0.640000
secure,ner,Verträge,unstructured,14,5,3,0.736842,0.823529,0.777778
secure,regex,Chats,regular,12,1,0,0.923077,1.000000,0.960000
secure,regex,Chats,structured,9,0,0,1.000000,1.000000,1.000000
secure,regex,Chats,unstructured,13,0,0,1.000000,1.000000,1.000000
secure,regex,E-Mail,regular,13,0,0,1.000000,1.000000,1.000000
secure,regex,E-Mail,structured,14,0,0,1.000000,1.000000,1.000000
secure,regex,E-Mail,unstructured,15,0,0,1.000000,1.000000,1.000000
secure,regex,HR-Dokumente,regular,13,1,0,0.928571,1.000000,0.962963
secure,regex,HR-Dokumente,structured,17,0,0,1.000000,1.000000,1.000000
secure,regex,HR-Dokumente,unstructured,11,0,0,1.000000,1.000000,1.000000
secure,regex,Supporttickets,regular,7,0,0,1.000000,1.000000,1.000000
secure,regex,Supporttickets,structured,9,0,0,1.000000,1.000000,1.000000
secure,regex,Supporttickets,unstructured,10,0,0,1.000000,1.000000,1.000000
secure,regex,Verträge,regular,12,0,0,1.000000,1.000000,1.000000
secure,regex,Verträge,structured,15,1,1,0.937500,0.937500,0.937500
secure,regex,Verträge,unstructured,12,0,0,1.000000,1.000000,1.000000
