policy,mode,label,tp,fp,fn,precision,recall,f1
secure,combined,DATUM,71,0,0,1.000000,1.000000,1.000000
secure,combined,E_MAIL,39,0,0,1.000000,1.000000,1.000000
secure,combined,IBAN,2,0,0,1.000000,1.000000,1.000000
secure,combined,IP_ADRESSE,2,0,0,1.000000,1.000000,1.000000
secure,combined,LOC,30,13,14,0.697674,0.681818,0.689655
secure,combined,ORG,37,22,11,0.627119,0.770833,0.691589
secure,combined,PER,98,6,12,0.942308,0.890909,0.915888
secure,combined,PLZ,20,1,0,0.952381,1.000000,0.975610
secure,combined,STRASSE,19,2,0,0.904762,1.000000,0.950000
secure,combined,TELEFON,19,0,0,1.000000,1.000000,1.000000
secure,combined,URL,11,0,0,1.000000,1.000000,1.000000
secure,ner,LOC,30,14,14,0.681818,0.681818,0.681818
secure,ner,ORG,37,23,11,0.616667,0.770833,0.685185
secure,ner,PER,98,8,12,0.924528,0.890909,0.907407
secure,ner,STRASSE,16,2,4,0.888889,0.800000,0.842105
secure,regex,DATUM,71,0,0,1.000000,1.000000,1.000000
secure,regex,E_MAIL,39,0,0,1.000000,1.000000,1.000000
secure,regex,IBAN,2,0,0,1.000000,1.000000,1.000000
secure,regex,IP_ADRESSE,2,0,0,1.000000,1.000000,1.000000
secure,regex,PLZ,20,1,0,0.952381,1.000000,0.975610
secure,regex,STRASSE,18,2,1,0.900000,0.947368,0.923077
secure,regex,TELEFON,19,0,0,1.000000,1.000000,1.000000
secure,regex,URL,11,0,0,1.000000,1.000000,1.000000
