policy,mode,structure,label,tp,fp,fn,precision,recall,f1
secure,combined,regular,DATUM,22,0,0,1.000000,1.000000,1.000000
secure,combined,regular,E_MAIL,14,0,0,1.000000,1.000000,1.000000
secure,combined,regular,LOC,14,3,3,0.823529,0.823529,0.823529
secure,combined,regular,ORG,10,3,2,0.769231,0.833333,0.800000
secure,combined,regular,PER,28,2,7,0.933333,0.800000,0.861538
secure,combined,regular,PLZ,7,1,0,0.875000,1.000000,0.933333
secure,combined,regular,STRASSE,6,1,0,0.857143,1.000000,0.923077
secure,combined,regular,TELEFON,6,0,0,1.000000,1.000000,1.000000
secure,combined,regular,URL,2,0,0,1.000000,1.000000,1.000000
secure,combined,structured,DATUM,24,0,0,1.000000,1.000000,1.000000
secure,combined,structured,E_MAIL,12,0,0,1.000000,1.000000,1.000000
secure,combined,structured,IBAN,2,0,0,1.000000,1.000000,1.000000
secure,combined,structured,IP_ADRESSE,1,0,0,1.000000,1.000000,1.000000
secure,combined,structured,LOC,8,6,9,0.571429,0.470588,0.516129
secure,combined,structured,ORG,11,10,6,0.523810,0.647059,0.578947
secure,combined,structured,PER,32,1,1,0.969697,0.969697,0.969697
secure,combined,structured,PLZ,8,0,0,1.000000,1.000000,1.000000
secure,combined,structured,STRASSE,7,1,0,0.875000,1.000000,0.933333
secure,combined,structured,TELEFON,7,0,0,1.000000,1.000000,1.000000
secure,combined,structured,URL,4,0,0,1.000000,1.000000,1.000000
secure,combined,unstructured,DATUM,25,0,0,1.000000,1.000000,1.000000
secure,combined,unstructured,E_MAIL,13,0,0,1.000000,1.000000,1.000000
secure,combined,unstructured,IP_ADRESSE,1,0,0,1.000000,1.000000,1.000000
secure,combined,unstructured,LOC,8,4,2,0.666667,0.800000,0.727273
secure,combined,unstructured,ORG,16,9,3,0.640000,0.842105,0.727273
secure,combined,unstructured,PER,38,3,4,0.926829,0.904762,0.915663
secure,combined,unstructured,PLZ,5,0,0,1.000000,1.000000,1.000000
secure,combined,unstructured,STRASSE,6,0,0,1.000000,1.000000,1.000000
secure,combined,unstructured,TELEFON,6,0,0,1.000000,1.000000,1.000000
secure,combined,unstructured,URL,5,0,0,1.000000,1.000000,1.000000
secure,ner,regular,LOC,14,3,3,0.823529,0.823529,0.823529
secure,ner,regular,ORG,10,3,2,0.769231,0.833333,0.800000
secure,ner,regular,PER,28,2,7,0.933333,0.800000,0.861538
secure,ner,regular,STRASSE,6,1,1,0.857143,0.857143,0.857143
secure,ner,structured,LOC,8,7,9,0.533333,0.470588,0.500000
secure,ner,structured,ORG,11,11,6,0.500000,0.647059,0.564103
secure,ner,structured,PER,32,1,1,0.969697,0.969697,0.969697
secure,ner,structured,STRASSE,6,1,1,0.857143,0.857143,0.857143
secure,ner,unstructured,LOC,8,4,2,0.666667,0.800000,0.727273
secure,ner,unstructured,ORG,16,9,3,0.640000,0.842105,0.727273
secure,ner,unstructured,PER,38,5,4,0.883721,0.904762,0.894118
secure,ner,unstructured,STRASSE,4,0,2,1.000000,0.666667,0.800000
secure,regex,regular,DATUM,22,0,0,1.000000,1.000000,1.000000
secure,regex,regular,E_MAIL,14,0,0,1.000000,1.000000,1.000000
secure,regex,regular,PLZ,7,1,0,0.875000,1.000000,0.933333
secure,regex,regular,STRASSE,6,1,0,0.857143,1.000000,0.923077
secure,regex,regular,TELEFON,6,0,0,1.000000,1.000000,1.000000
secure,regex,regular,URL,2,0,0,1.000000,1.000000,1.000000
secure,regex,structured,DATUM,24,0,0,1.000000,1.000000,1.000000
secure,regex,structured,E_MAIL,12,0,0,1.000000,1.000000,1.000000
secure,regex,structured,IBAN,2,0,0,1.000000,1.000000,1.000000
secure,regex,structured,IP_ADRESSE,1,0,0,1.000000,1.000000,1.000000
secure,regex,structured,PLZ,8,0,0,1.000000,1.000000,1.000000
secure,regex,structured,STRASSE,6,1,1,0.857143,0.857143,0.857143
secure,regex,structured,TELEFON,7,0,0,1.000000,1.000000,1.000000
secure,regex,structured,URL,4,0,0,1.000000,1.000000,1.000000
secure,regex,unstructured,DATUM,25,0,0,1.000000,1.000000,1.000000
secure,regex,unstructured,E_MAIL,13,0,0,1.000000,1.000000,1.000000
secure,regex,unstructured,IP_ADRESSE,1,0,0,1.000000,1.000000,1.000000
secure,regex,unstructured,PLZ,5,0,0,1.000000,1.000000,1.000000
secure,regex,unstructured,STRASSE,6,0,0,1.000000,1.000000,1.000000
secure,regex,unstructured,TELEFON,6,0,0,1.000000,1.000000,1.000000
secure,regex,unstructured,URL,5,0,0,1.000000,1.000000,1.000000
