policy,domain,label,tp,fp,fn,precision,recall,f1
minimal,Chats,E_MAIL,8,0,0,1.000000,1.000000,1.000000
minimal,Chats,IP_ADRESSE,2,0,0,1.000000,1.000000,1.000000
minimal,Chats,PER,63,5,3,0.926471,0.954545,0.940299
minimal,Chats,STRASSE,6,0,0,1.000000,1.000000,1.000000
minimal,Chats,TELEFON,2,0,0,1.000000,1.000000,1.000000
minimal,E-Mail,E_MAIL,18,0,0,1.000000,1.000000,1.000000
minimal,E-Mail,IBAN,1,0,0,1.000000,1.000000,1.000000
minimal,E-Mail,PER,8,2,6,0.800000,0.571429,0.666667
minimal,E-Mail,TELEFON,6,0,0,1.000000,1.000000,1.000000
minimal,HR-Dokumente,E_MAIL,7,0,0,1.000000,1.000000,1.000000
minimal,HR-Dokumente,PER,6,3,2,0.666667,0.750000,0.705882
minimal,HR-Dokumente,STRASSE,2,0,0,1.000000,1.000000,1.000000
minimal,HR-Dokumente,TELEFON,6,0,0,1.000000,1.000000,1.000000
minimal,Supporttickets,E_MAIL,6,0,0,1.000000,1.000000,1.000000
minimal,Supporttickets,PER,9,3,1,0.750000,0.900000,0.818182
minimal,Supporttickets,TELEFON,6,0,0,1.000000,1.000000,1.000000
minimal,Verträge,IBAN,1,0,0,1.000000,1.000000,1.000000
minimal,Verträge,PER,18,0,6,1.000000,0.750000,0.857143
minimal,Verträge,STRASSE,13,1,1,0.928571,0.928571,0.928571
