policy,domain,structure,tp,fp,fn,precision,recall,f1
minimal,Chats,regular,29,3,1,0.906250,0.966667,0.935484
minimal,Chats,structured,22,1,1,0.956522,0.956522,0.956522
minimal,Chats,unstructured,30,1,1,0.967742,0.967742,0.967742
minimal,E-Mail,regular,9,0,2,1.000000,0.818182,0.900000
minimal,E-Mail,structured,13,0,1,1.000000,0.928571,0.962963
minimal,E-Mail,unstructured,11,2,3,0.846154,0.785714,0.814815
minimal,HR-Dokumente,regular,7,1,1,0.875000,0.875000,0.875000
minimal,HR-Dokumente,structured,7,0,0,1.000000,1.000000,1.000000
minimal,HR-Dokumente,unstructured,7,2,1,0.777778,0.875000,0.823529
minimal,Supporttickets,regular,7,2,1,0.777778,0.875000,0.823529
minimal,Supporttickets,structured,6,1,0,0.857143,1.000000,0.923077
minimal,Supporttickets,unstructured,8,0,0,1.000000,1.000000,1.000000
minimal,Verträge,regular,11,0,5,1.000000,0.687500,0.814815
minimal,Verträge,structured,12,1,1,0.923077,0.923077,0.923077
minimal,Verträge,unstructured,9,0,1,1.000000,0.900000,0.947368
