policy,structure,label,tp,fp,fn,precision,recall,f1
minimal,regular,E_MAIL,14,0,0,1.000000,1.000000,1.000000
minimal,regular,PER,34,6,10,0.850000,0.772727,0.809524
minimal,regular,STRASSE,8,0,0,1.000000,1.000000,1.000000
minimal,regular,TELEFON,7,0,0,1.000000,1.000000,1.000000
minimal,structured,E_MAIL,12,0,0,1.000000,1.000000,1.000000
minimal,structured,IBAN,2,0,0,1.000000,1.000000,1.000000
minimal,structured,IP_ADRESSE,1,0,0,1.000000,1.000000,1.000000
minimal,structured,PER,31,2,2,0.939394,0.939394,0.939394
minimal,structured,STRASSE,7,1,1,0.875000,0.875000,0.875000
minimal,structured,TELEFON,7,0,0,1.000000,1.000000,1.000000
minimal,unstructured,E_MAIL,13,0,0,1.000000,1.000000,1.000000
minimal,unstructured,IP_ADRESSE,1,0,0,1.000000,1.000000,1.000000
minimal,unstructured,PER,39,5,6,0.886364,0.866667,0.876404
minimal,unstructured,STRASSE,6,0,0,1.000000,1.000000,1.000000
minimal,unstructured,TELEFON,6,0,0,1.000000,1.000000,1.000000
