dataset,dataset_index,domain,structure,variant,policy,tp,fp,fn,precision,recall,f1
Dataset_01,1,Supporttickets,structured,1,secure,6,1,0,0.857143,1.000000,0.923077
Dataset_02,2,Supporttickets,structured,2,secure,6,4,2,0.600000,0.750000,0.666667
Dataset_03,3,Supporttickets,regular,1,secure,5,1,2,0.833333,0.714286,0.769231
Dataset_04,4,Supporttickets,regular,2,secure,5,3,1,0.625000,0.833333,0.714286
Dataset_05,5,Supporttickets,unstructured,1,secure,7,2,1,0.777778,0.875000,0.823529
Dataset_06,6,Supporttickets,unstructured,2,secure,7,2,1,0.777778,0.875000,0.823529
Dataset_07,7,E-Mail,structured,1,secure,11,1,2,0.916667,0.846154,0.880000
Dataset_08,8,E-Mail,structured,2,secure,8,2,2,0.800000,0.800000,0.800000
Dataset_09,9,E-Mail,regular,1,secure,7,1,1,0.875000,0.875000,0.875000
Dataset_10,10,E-Mail,regular,2,secure,9,0,1,1.000000,0.900000,0.947368
Dataset_11,11,E-Mail,unstructured,1,secure,11,2,3,0.846154,0.785714,0.814815
Dataset_12,12,E-Mail,unstructured,2,secure,11,1,1,0.916667,0.916667,0.916667
Dataset_13,13,HR-Dokumente,structured,1,secure,14,2,2,0.875000,0.875000,0.875000
Dataset_14,14,HR-Dokumente,structured,2,secure,12,2,3,0.857143,0.800000,0.827586
Dataset_15,15,HR-Dokumente,regular,1,secure,15,2,1,0.882353,0.937500,0.909091
Dataset_16,16,HR-Dokumente,regular,2,secure,11,0,1,1.000000,0.916667,0.956522
Dataset_17,17,HR-Dokumente,unstructured,1,secure,8,1,2,0.888889,0.800000,0.842105
Dataset_18,18,HR-Dokumente,unstructured,2,secure,12,4,1,0.750000,0.923077,0.827586
Dataset_19,19,Verträge,structured,1,secure,16,5,1,0.761905,0.941176,0.842105
Dataset_20,20,Verträge,structured,2,secure,11,3,8,0.785714,0.578947,0.666667
Dataset_21,21,Verträge,regular,1,secure,13,1,4,0.928571,0.764706,0.838710
Dataset_22,22,Verträge,regular,2,secure,13,0,3,1.000000,0.812500,0.896552
Dataset_23,23,Verträge,unstructured,1,secure,12,2,2,0.857143,0.857143,0.857143
Dataset_24,24,Verträge,unstructured,2,secure,13,2,3,0.866667,0.812500,0.838710
Dataset_25,25,Chats,structured,1,secure,14,4,1,0.777778,0.933333,0.848485
Dataset_26,26,Chats,structured,2,secure,13,4,1,0.764706,0.928571,0.838710
Dataset_27,27,Chats,regular,1,secure,20,3,1,0.869565,0.952381,0.909091
Dataset_28,28,Chats,regular,2,secure,22,5,3,0.814815,0.880000,0.846154
Dataset_29,29,Chats,unstructured,1,secure,23,4,0,0.851852,1.000000,0.920000
Dataset_30,30,Chats,unstructured,2,secure,20,4,2,0.833333,0.909091,0.869565
