policy,domain,label,tp,fp,fn,precision,recall,f1
secure,Chats,DATUM,14,0,0,1.000000,1.000000,1.000000
secure,Chats,E_MAIL,8,0,0,1.000000,1.000000,1.000000
secure,Chats,IP_ADRESSE,2,0,0,1.000000,1.000000,1.000000
secure,Chats,LOC,7,5,0,0.583333,1.000000,0.736842
secure,Chats,ORG,4,13,4,0.235294,0.500000,0.320000
secure,Chats,PER,63,5,4,0.926471,0.940299,0.933333
secure,Chats,PLZ,2,1,0,0.666667,1.000000,0.800000
secure,Chats,STRASSE,6,0,0,1.000000,1.000000,1.000000
secure,Chats,TELEFON,2,0,0,1.000000,1.000000,1.000000
secure,Chats,URL,4,0,0,1.000000,1.000000,1.000000
secure,E-Mail,DATUM,15,0,0,1.000000,1.000000,1.000000
secure,E-Mail,E_MAIL,18,0,0,1.000000,1.000000,1.000000
secure,E-Mail,IBAN,1,0,0,1.000000,1.000000,1.000000
secure,E-Mail,LOC,0,3,1,0.000000,0.000000,0.000000
secure,E-Mail,ORG,7,2,3,0.777778,0.700000,0.736842
secure,E-Mail,PER,8,2,6,0.800000,0.571429,0.666667
secure,E-Mail,TELEFON,6,0,0,1.000000,1.000000,1.000000
secure,E-Mail,URL,2,0,0,1.000000,1.000000,1.000000
secure,HR-Dokumente,DATUM,22,0,0,1.000000,1.000000,1.000000
secure,HR-Dokumente,E_MAIL,7,0,0,1.000000,1.000000,1.000000
secure,HR-Dokumente,LOC,8,2,5,0.800000,0.615385,0.695652
secure,HR-Dokumente,ORG,16,6,3,0.727273,0.842105,0.780488
secure,HR-Dokumente,PER,6,3,2,0.666667,0.750000,0.705882
secure,HR-Dokumente,PLZ,5,0,0,1.000000,1.000000,1.000000
secure,HR-Dokumente,STRASSE,2,0,0,1.000000,1.000000,1.000000
secure,HR-Dokumente,TELEFON,6,0,0,1.000000,1.000000,1.000000
secure,Supporttickets,DATUM,9,0,0,1.000000,1.000000,1.000000
secure,Supporttickets,E_MAIL,6,0,0,1.000000,1.000000,1.000000
secure,Supporttickets,LOC,0,3,0,0.000000,0.000000,0.000000
secure,Supporttickets,ORG,1,7,6,0.125000,0.142857,0.133333
secure,Supporttickets,PER,9,3,1,0.750000,0.900000,0.818182
secure,Supporttickets,TELEFON,6,0,0,1.000000,1.000000,1.000000
secure,Supporttickets,URL,5,0,0,1.000000,1.000000,1.000000
secure,Verträge,DATUM,12,0,0,1.000000,1.000000,1.000000
secure,Verträge,IBAN,1,0,0,1.000000,1.000000,1.000000
secure,Verträge,LOC,17,4,8,0.809524,0.680000,0.739130
secure,Verträge,ORG,2,9,6,0.181818,0.250000,0.210526
secure,Verträge,PER,18,0,6,1.000000,0.750000,0.857143
secure,Verträge,PLZ,14,0,0,1.000000,1.000000,1.000000
secure,Verträge,STRASSE,13,1,1,0.928571,0.928571,0.928571
