policy,domain,structure,label,tp,fp,fn,precision,recall,f1
secure,Chats,regular,DATUM,6,0,0,1.000000,1.000000,1.000000
secure,Chats,regular,E_MAIL,4,0,0,1.000000,1.000000,1.000000
secure,Chats,regular,LOC,4,1,0,0.800000,1.000000,0.888889
secure,Chats,regular,ORG,1,3,2,0.250000,0.333333,0.285714
secure,Chats,regular,PER,21,3,2,0.875000,0.913043,0.893617
secure,Chats,regular,PLZ,2,1,0,0.666667,1.000000,0.800000
secure,Chats,regular,STRASSE,3,0,0,1.000000,1.000000,1.000000
secure,Chats,regular,TELEFON,1,0,0,1.000000,1.000000,1.000000
secure,Chats,structured,DATUM,2,0,0,1.000000,1.000000,1.000000
secure,Chats,structured,E_MAIL,2,0,0,1.000000,1.000000,1.000000
secure,Chats,structured,IP_ADRESSE,1,0,0,1.000000,1.000000,1.000000
secure,Chats,structured,LOC,1,1,0,0.500000,1.000000,0.666667
secure,Chats,structured,ORG,0,6,1,0.000000,0.000000,0.000000
secure,Chats,structured,PER,17,1,1,0.944444,0.944444,0.944444
secure,Chats,structured,STRASSE,1,0,0,1.000000,1.000000,1.000000
secure,Chats,structured,TELEFON,1,0,0,1.000000,1.000000,1.000000
secure,Chats,structured,URL,2,0,0,1.000000,1.000000,1.000000
secure,Chats,unstructured,DATUM,6,0,0,1.000000,1.000000,1.000000
secure,Chats,unstructured,E_MAIL,2,0,0,1.000000,1.000000,1.000000
secure,Chats,unstructured,IP_ADRESSE,1,0,0,1.000000,1.000000,1.000000
secure,Chats,unstructured,LOC,2,3,0,0.400000,1.000000,0.571429
secure,Chats,unstructured,ORG,3,4,1,0.428571,0.750000,0.545455
secure,Chats,unstructured,PER,25,1,1,0.961538,0.961538,0.961538
secure,Chats,unstructured,STRASSE,2,0,0,1.000000,1.000000,1.000000
secure,Chats,unstructured,URL,2,0,0,1.000000,1.000000,1.000000
secure,E-Mail,regular,DATUM,4,0,0,1.000000,1.000000,1.000000
secure,E-Mail,regular,E_MAIL,6,0,0,1.000000,1.000000,1.000000
secure,E-Mail,regular,LOC,0,1,0,0.000000,0.000000,0.000000
secure,E-Mail,regular,ORG,2,0,0,1.000000,1.000000,1.000000
secure,E-Mail,regular,PER,1,0,2,1.000000,0.333333,0.500000
secure,E-Mail,regular,TELEFON,2,0,0,1.000000,1.000000,1.000000
secure,E-Mail,regular,URL,1,0,0,1.000000,1.000000,1.000000
secure,E-Mail,structured,DATUM,5,0,0,1.000000,1.000000,1.000000
secure,E-Mail,structured,E_MAIL,6,0,0,1.000000,1.000000,1.000000
secure,E-Mail,structured,IBAN,1,0,0,1.000000,1.000000,1.000000
secure,E-Mail,structured,LOC,1,0,0,1.000000,1.000000,1.000000
secure,E-Mail,structured,ORG,1,2,2,0.333333,0.333333,0.333333
secure,E-Mail,structured,PER,4,0,1,1.000000,0.800000,0.888889
secure,E-Mail,structured,TELEFON,2,0,0,1.000000,1.000000,1.000000
secure,E-Mail,unstructured,DATUM,6,0,0,1.000000,1.000000,1.000000
secure,E-Mail,unstructured,E_MAIL,6,0,0,1.000000,1.000000,1.000000
