policy,label,tp,fp,fn,precision,recall,f1
secure,DATUM,72,0,0,1.000000,1.000000,1.000000
secure,E_MAIL,39,0,0,1.000000,1.000000,1.000000
secure,IBAN,2,0,0,1.000000,1.000000,1.000000
secure,IP_ADRESSE,2,0,0,1.000000,1.000000,1.000000
secure,LOC,32,17,14,0.653061,0.695652,0.673684
secure,ORG,31,36,22,0.462687,0.584906,0.516667
secure,PER,104,13,19,0.888889,0.845528,0.866667
secure,PLZ,21,1,0,0.954545,1.000000,0.976744
secure,STRASSE,21,1,1,0.954545,0.954545,0.954545
secure,TELEFON,20,0,0,1.000000,1.000000,1.000000
secure,URL,11,0,0,1.000000,1.000000,1.000000
