policy,structure,label,tp,fp,fn,precision,recall,f1
secure,regular,DATUM,23,0,0,1.000000,1.000000,1.000000
secure,regular,E_MAIL,14,0,0,1.000000,1.000000,1.000000
secure,regular,LOC,14,3,3,0.823529,0.823529,0.823529
secure,regular,ORG,10,6,4,0.625000,0.714286,0.666667
secure,regular,PER,34,6,11,0.850000,0.755556,0.800000
secure,regular,PLZ,8,1,0,0.888889,1.000000,0.941176
secure,regular,STRASSE,8,0,0,1.000000,1.000000,1.000000
secure,regular,TELEFON,7,0,0,1.000000,1.000000,1.000000
secure,regular,URL,2,0,0,1.000000,1.000000,1.000000
secure,structured,DATUM,24,0,0,1.000000,1.000000,1.000000
secure,structured,E_MAIL,12,0,0,1.000000,1.000000,1.000000
secure,structured,IBAN,2,0,0,1.000000,1.000000,1.000000
secure,structured,IP_ADRESSE,1,0,0,1.000000,1.000000,1.000000
secure,structured,LOC,8,9,9,0.470588,0.470588,0.470588
secure,structured,ORG,7,16,10,0.304348,0.411765,0.350000
secure,structured,PER,31,2,2,0.939394,0.939394,0.939394
secure,structured,PLZ,8,0,0,1.000000,1.000000,1.000000
secure,structured,STRASSE,7,1,1,0.875000,0.875000,0.875000
secure,structured,TELEFON,7,0,0,1.000000,1.000000,1.000000
secure,structured,URL,4,0,0,1.000000,1.000000,1.000000
secure,unstructured,DATUM,25,0,0,1.000000,1.000000,1.000000
secure,unstructured,E_MAIL,13,0,0,1.000000,1.000000,1.000000
secure,unstructured,IP_ADRESSE,1,0,0,1.000000,1.000000,1.000000
secure,unstructured,LOC,10,5,2,0.666667,0.833333,0.740741
secure,unstructured,ORG,14,14,8,0.500000,0.636364,0.560000
secure,unstructured,PER,39,5,6,0.886364,0.866667,0.876404
secure,unstructured,PLZ,5,0,0,1.000000,1.000000,1.000000
secure,unstructured,STRASSE,6,0,0,1.000000,1.000000,1.000000
secure,unstructured,TELEFON,6,0,0,1.000000,1.000000,1.000000
secure,unstructured,URL,5,0,0,1.000000,1.000000,1.000000
