dataset,dataset_index,domain,structure,variant,policy,tp,fp,fn,precision,recall,f1
Dataset_01,1,Supporttickets,structured,1,minimal,3,0,0,1.000000,1.000000,1.000000
Dataset_02,2,Supporttickets,structured,2,minimal,3,0,0,1.000000,1.000000,1.000000
Dataset_03,3,Supporttickets,regular,1,minimal,4,0,0,1.000000,1.000000,1.000000
Dataset_04,4,Supporttickets,regular,2,minimal,4,0,0,1.000000,1.000000,1.000000
Dataset_05,5,Supporttickets,unstructured,1,minimal,4,0,0,1.000000,1.000000,1.000000
Dataset_06,6,Supporttickets,unstructured,2,minimal,4,0,0,1.000000,1.000000,1.000000
Dataset_07,7,E-Mail,structured,1,minimal,7,0,1,1.000000,0.875000,0.933333
Dataset_08,8,E-Mail,structured,2,minimal,6,0,0,1.000000,1.000000,1.000000
Dataset_09,9,E-Mail,regular,1,minimal,4,0,1,1.000000,0.800000,0.888889
Dataset_10,10,E-Mail,regular,2,minimal,5,0,1,1.000000,0.833333,0.909091
Dataset_11,11,E-Mail,unstructured,1,minimal,6,0,2,1.000000,0.750000,0.857143
Dataset_12,12,E-Mail,unstructured,2,minimal,5,0,1,1.000000,0.833333,0.909091
Dataset_13,13,HR-Dokumente,structured,1,minimal,3,0,0,1.000000,1.000000,1.000000
Dataset_14,14,HR-Dokumente,structured,2,minimal,4,0,0,1.000000,1.000000,1.000000
Dataset_15,15,HR-Dokumente,regular,1,minimal,5,0,0,1.000000,1.000000,1.000000
Dataset_16,16,HR-Dokumente,regular,2,minimal,3,0,0,1.000000,1.000000,1.000000
Dataset_17,17,HR-Dokumente,unstructured,1,minimal,3,0,0,1.000000,1.000000,1.000000
Dataset_18,18,HR-Dokumente,unstructured,2,minimal,5,0,0,1.000000,1.000000,1.000000
Dataset_19,19,Verträge,structured,1,minimal,8,0,0,1.000000,1.000000,1.000000
Dataset_20,20,Verträge,structured,2,minimal,5,0,0,1.000000,1.000000,1.000000
Dataset_21,21,Verträge,regular,1,minimal,5,0,3,1.000000,0.625000,0.769231
Dataset_22,22,Verträge,regular,2,minimal,6,0,2,1.000000,0.750000,0.857143
Dataset_23,23,Verträge,unstructured,1,minimal,4,0,0,1.000000,1.000000,1.000000
Dataset_24,24,Verträge,unstructured,2,minimal,5,0,1,1.000000,0.833333,0.909091
Dataset_25,25,Chats,structured,1,minimal,11,0,1,1.000000,0.916667,0.956522
Dataset_26,26,Chats,structured,2,minimal,11,0,0,1.000000,1.000000,1.000000
Dataset_27,27,Chats,regular,1,minimal,14,0,1,1.000000,0.933333,0.965517
Dataset_28,28,Chats,regular,2,minimal,15,0,0,1.000000,1.000000,1.000000
Dataset_29,29,Chats,unstructured,1,minimal,16,0,0,1.000000,1.000000,1.000000
Dataset_30,30,Chats,unstructured,2,minimal,14,0,1,1.000000,0.933333,0.965517
