dataset,dataset_index,domain,structure,variant,policy,tp,fp,fn,precision,recall,f1
Dataset_01,1,Supporttickets,structured,1,secure,6,0,0,1.000000,1.000000,1.000000
Dataset_02,2,Supporttickets,structured,2,secure,7,0,1,1.000000,0.875000,0.933333
Dataset_03,3,Supporttickets,regular,1,secure,6,0,1,1.000000,0.857143,0.923077
Dataset_04,4,Supporttickets,regular,2,secure,6,0,0,1.000000,1.000000,1.000000
Dataset_05,5,Supporttickets,unstructured,1,secure,8,0,0,1.000000,1.000000,1.000000
Dataset_06,6,Supporttickets,unstructured,2,secure,8,0,0,1.000000,1.000000,1.000000
Dataset_07,7,E-Mail,structured,1,secure,12,0,1,1.000000,0.923077,0.960000
Dataset_08,8,E-Mail,structured,2,secure,10,0,0,1.000000,1.000000,1.000000
Dataset_09,9,E-Mail,regular,1,secure,7,0,1,1.000000,0.875000,0.933333
Dataset_10,10,E-Mail,regular,2,secure,9,0,1,1.000000,0.900000,0.947368
Dataset_11,11,E-Mail,unstructured,1,secure,11,0,3,1.000000,0.785714,0.880000
Dataset_12,12,E-Mail,unstructured,2,secure,11,0,1,1.000000,0.916667,0.956522
Dataset_13,13,HR-Dokumente,structured,1,secure,14,1,2,0.933333,0.875000,0.903226
Dataset_14,14,HR-Dokumente,structured,2,secure,12,1,3,0.923077,0.800000,0.857143
Dataset_15,15,HR-Dokumente,regular,1,secure,15,1,1,0.937500,0.937500,0.937500
Dataset_16,16,HR-Dokumente,regular,2,secure,12,0,0,1.000000,1.000000,1.000000
Dataset_17,17,HR-Dokumente,unstructured,1,secure,9,0,1,1.000000,0.900000,0.947368
Dataset_18,18,HR-Dokumente,unstructured,2,secure,13,1,0,0.928571,1.000000,0.962963
Dataset_19,19,Verträge,structured,1,secure,16,2,1,0.888889,0.941176,0.914286
Dataset_20,20,Verträge,structured,2,secure,12,1,7,0.923077,0.631579,0.750000
Dataset_21,21,Verträge,regular,1,secure,13,1,4,0.928571,0.764706,0.838710
Dataset_22,22,Verträge,regular,2,secure,13,0,3,1.000000,0.812500,0.896552
Dataset_23,23,Verträge,unstructured,1,secure,13,0,1,1.000000,0.928571,0.962963
Dataset_24,24,Verträge,unstructured,2,secure,14,0,2,1.000000,0.875000,0.933333
Dataset_25,25,Chats,structured,1,secure,14,3,1,0.823529,0.933333,0.875000
Dataset_26,26,Chats,structured,2,secure,14,2,0,0.875000,1.000000,0.933333
Dataset_27,27,Chats,regular,1,secure,20,1,1,0.952381,0.952381,0.952381
Dataset_28,28,Chats,regular,2,secure,24,2,1,0.923077,0.960000,0.941176
Dataset_29,29,Chats,unstructured,1,secure,23,0,0,1.000000,1.000000,1.000000
Dataset_30,30,Chats,unstructured,2,secure,21,0,1,1.000000,0.954545,0.976744
