policy,domain,label,tp,fp,fn,precision,recall,f1
secure,Chats,DATUM,14,0,0,1.000000,1.000000,1.000000
secure,Chats,E_MAIL,8,0,0,1.000000,1.000000,1.000000
secure,Chats,IP_ADRESSE,2,0,0,1.000000,1.000000,1.000000
secure,Chats,LOC,7,1,0,0.875000,1.000000,0.933333
secure,Chats,ORG,8,6,0,0.571429,1.000000,0.727273
secure,Chats,PER,64,0,3,1.000000,0.955224,0.977099
secure,Chats,PLZ,2,1,0,0.666667,1.000000,0.800000
secure,Chats,STRASSE,6,0,0,1.000000,1.000000,1.000000
secure,Chats,TELEFON,2,0,0,1.000000,1.000000,1.000000
secure,Chats,URL,4,0,0,1.000000,1.000000,1.000000
secure,E-Mail,DATUM,15,0,0,1.000000,1.000000,1.000000
secure,E-Mail,E_MAIL,18,0,0,1.000000,1.000000,1.000000
secure,E-Mail,IBAN,1,0,0,1.000000,1.000000,1.000000
secure,E-Mail,LOC,0,1,1,0.000000,0.000000,0.000000
secure,E-Mail,ORG,9,0,1,1.000000,0.900000,0.947368
secure,E-Mail,PER,8,0,6,1.000000,0.571429,0.727273
secure,E-Mail,TELEFON,6,0,0,1.000000,1.000000,1.000000
secure,E-Mail,URL,2,0,0,1.000000,1.000000,1.000000
secure,HR-Dokumente,DATUM,22,0,0,1.000000,1.000000,1.000000
secure,HR-Dokumente,E_MAIL,7,0,0,1.000000,1.000000,1.000000
secure,HR-Dokumente,LOC,9,2,4,0.818182,0.692308,0.750000
secure,HR-Dokumente,ORG,16,2,3,0.888889,0.842105,0.864865
secure,HR-Dokumente,PER,8,0,0,1.000000,1.000000,1.000000
secure,HR-Dokumente,PLZ,5,0,0,1.000000,1.000000,1.000000
secure,HR-Dokumente,STRASSE,2,0,0,1.000000,1.000000,1.000000
secure,HR-Dokumente,TELEFON,6,0,0,1.000000,1.000000,1.000000
secure,Supporttickets,DATUM,9,0,0,1.000000,1.000000,1.000000
secure,Supporttickets,E_MAIL,6,0,0,1.000000,1.000000,1.000000
secure,Supporttickets,ORG,5,0,2,1.000000,0.714286,0.833333
secure,Supporttickets,PER,10,0,0,1.000000,1.000000,1.000000
secure,Supporttickets,TELEFON,6,0,0,1.000000,1.000000,1.000000
secure,Supporttickets,URL,5,0,0,1.000000,1.000000,1.000000
secure,Verträge,DATUM,12,0,0,1.000000,1.000000,1.000000
secure,Verträge,IBAN,1,0,0,1.000000,1.000000,1.000000
secure,Verträge,LOC,17,1,8,0.944444,0.680000,0.790698
secure,Verträge,ORG,5,3,4,0.625000,0.555556,0.588235
secure,Verträge,PER,18,0,6,1.000000,0.750000,0.857143
secure,Verträge,PLZ,14,0,0,1.000000,1.000000,1.000000
secure,Verträge,STRASSE,14,0,0,1.000000,1.000000,1.000000
