policy,label,tp,fp,fn,precision,recall,f1
secure,DATUM,72,0,0,1.000000,1.000000,1.000000
secure,E_MAIL,39,0,0,1.000000,1.000000,1.000000
secure,IBAN,2,0,0,1.000000,1.000000,1.000000
secure,IP_ADRESSE,2,0,0,1.000000,1.000000,1.000000
secure,LOC,34,4,12,0.894737,0.739130,0.809524
secure,ORG,42,11,11,0.792453,0.792453,0.792453
secure,PER,107,0,15,1.000000,0.877049,0.934498
secure,PLZ,21,1,0,0.954545,1.000000,0.976744
secure,STRASSE,22,0,0,1.000000,1.000000,1.000000
secure,TELEFON,20,0,0,1.000000,1.000000,1.000000
secure,URL,11,0,0,1.000000,1.000000,1.000000
